"a-profile href","a-profile-avatar","a-profile-name","a-size-base href","a-icon-alt","a-size-base","a-size-base 2","a-link-normal href","a-size-mini","a-size-base 3","a-size-base 4","a-button-text href","cr-helpful-text","a-size-base 5","a-size-base href 2","a-size-base 6","review-comment-count","a-alert-heading","a-lazy-loaded src"
"https://www.amazon.com/gp/profile/amzn1.account.AG4C56GT5DXXEZ7DP7D6GC7TDREQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","Kelly Daniels","https://www.amazon.com/gp/customer-reviews/R11BWTQ82P6RS5/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00HHIM4LG","5.0 out of 5 stars","My dog loves these","Reviewed in the United States on April 2, 2018","https://www.amazon.com/gp/help/customer/display.html/ref=cm_cr_dp_d_rvw_avp?nodeId=G75XTB7MBMBTXP6W","Verified Purchase","My dog loves these.  He is pretty picky when it comes to things that require chewing, but he loves these.  He seems to like all Twistix flavors equally.  I like the ingredients.  It's nice that there's nothing in them to bother my dog's stomach.  I have no idea if they actually clean teeth or not, but they do seem to help with his breath at least temporarily. If they do clean teeth that is a bonus, but I would get these anyway because they're good chews. They are easy enough that my dog doesn't give up or lose interest, but hard enough that he doesn't finish them in seconds.","One person found this helpful","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FTwistix-5-5-Ounce-Yogurt-Banana-Dental%2Fproduct-reviews%2FB00HHIM4LG%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhD5WSbp6SFUQoxlTL7C6UWzD0HqOwhsE5DAp4M%252FljKQJAAAAAGXT8iAAAAAB%26reviewId%3DR11BWTQ82P6RS5&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Helpful","Report","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hD5WSbp6SFUQoxlTL7C6UWzD0HqOwhsE5DAp4M%2FljKQJAAAAAGXT8iAAAAAB&reviewId=R11BWTQ82P6RS5","Showing  comments","0","There was a problem loading comments right now. Please try again later.",""
"https://www.amazon.com/gp/profile/amzn1.account.AFYDBP4BHWNNJVJCM66BPKR4TYJA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","Janner","https://www.amazon.com/gp/customer-reviews/R1AXMG7KNFFL9Z/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00HHIM4LG","5.0 out of 5 stars","A favorite here","Reviewed in the United States on April 9, 2023","https://www.amazon.com/gp/help/customer/display.html/ref=cm_cr_dp_d_rvw_avp?nodeId=G75XTB7MBMBTXP6W","Verified Purchase","Both my dogs love this treat.  I wish they lasted a little longer but both dogs love to chew wood so their jaws are pretty strong.  I have repeatedly purchased this product.","Report","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FTwistix-5-5-Ounce-Yogurt-Banana-Dental%2Fproduct-reviews%2FB00HHIM4LG%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhLXMLSeyrLCK3g3UMCegQhGjKXmc6jZd8d3cnH%252BSIEcvAAAAAGXT8iAAAAAB%26reviewId%3DR1AXMG7KNFFL9Z&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Helpful","Showing  comments","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hLXMLSeyrLCK3g3UMCegQhGjKXmc6jZd8d3cnH%2BSIEcvAAAAAGXT8iAAAAAB&reviewId=R1AXMG7KNFFL9Z","","0","There was a problem loading comments right now. Please try again later.","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif"
"https://www.amazon.com/gp/profile/amzn1.account.AEKGJK4Y2YIVYOOE2XKNN5NTQVQQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars/default._CR0,0,1024,1024_SX48_.png""/>","Kp","https://www.amazon.com/gp/customer-reviews/R35QDZ6M0KNO07/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00HHIM4LG","5.0 out of 5 stars","I was worried about these treats when I first took them out of the bag because they're hard like chalk and my dog is 13 years ol","Reviewed in the United States on February 8, 2016","https://www.amazon.com/gp/help/customer/display.html/ref=cm_cr_dp_d_rvw_avp?nodeId=G75XTB7MBMBTXP6W","Verified Purchase","My Yorkie loves these treats. I was worried about these treats when I first took them out of the bag because they're hard like chalk and my dog is 13 years old. She didn't like them right away but after she started to spend some time on them, they started to dissolve and she could chew on them more easily. These treats are great for distracting dogs but you also have to be careful if they're a smaller dog because the treat is really hard and I could see it could cause choking in over ambitious dogs that don't take the time to break down the treat. The only flaw in these treats is that my dog has a beard and these treats get really milky and foamy and once she finishes her treat it looks like she has rabies and that she's foaming at the mouth. I always find chunks of unfinished twistix dental chews melted to her beard with foam. She loves them so much and they're good for her teeth so I can't complain. I just have to clean her up every time after she's had one of these treats.","5 people found this helpful","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FTwistix-5-5-Ounce-Yogurt-Banana-Dental%2Fproduct-reviews%2FB00HHIM4LG%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhOsqEU7A2MP8Ye2xD255Na1a4jAGN9Hai6uXZGfUg40OAAAAAGXT8iAAAAAB%26reviewId%3DR35QDZ6M0KNO07&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Helpful","Report","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hOsqEU7A2MP8Ye2xD255Na1a4jAGN9Hai6uXZGfUg40OAAAAAGXT8iAAAAAB&reviewId=R35QDZ6M0KNO07","Showing  comments","0","There was a problem loading comments right now. Please try again later.","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif"
"https://www.amazon.com/gp/profile/amzn1.account.AH5TPQ2ZKHAA2IMNNAOJHJLPI7UA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","JT in Upstate NY","https://www.amazon.com/gp/customer-reviews/R28OMCKXA4SUD3/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00HHIM4LG","5.0 out of 5 stars","Romeo loves them","Reviewed in the United States on September 7, 2022","https://www.amazon.com/gp/help/customer/display.html/ref=cm_cr_dp_d_rvw_avp?nodeId=G75XTB7MBMBTXP6W","Verified Purchase","My Romey loves these. He’s a little guy do I get the small ones. One every night at bedtime, he loves them!","Report","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FTwistix-5-5-Ounce-Yogurt-Banana-Dental%2Fproduct-reviews%2FB00HHIM4LG%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhGNLns%252FnggL%252BzK1kfQDhU8OZYjlGIdNjcf561rjxHOUhAAAAAGXT8iAAAAAB%26reviewId%3DR28OMCKXA4SUD3&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Helpful","Showing  comments","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hGNLns%2FnggL%2BzK1kfQDhU8OZYjlGIdNjcf561rjxHOUhAAAAAGXT8iAAAAAB&reviewId=R28OMCKXA4SUD3","","0","There was a problem loading comments right now. Please try again later.","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif"
"https://www.amazon.com/gp/profile/amzn1.account.AHK7A7FKVKIM43TYZLIAO2QGDURQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/8ddf9b31-a704-4e28-aeb3-a028c929711e._CR408,0,2448,2448_SX48_.jpg""/>","M. Downey","https://www.amazon.com/gp/customer-reviews/R2QKU5VFMJETDW/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00HHIM4LG","4.0 out of 5 stars","Prefer The Vanilla Mint But My Dog Likes Both Flavors","Reviewed in the United States on April 24, 2018","https://www.amazon.com/gp/help/customer/display.html/ref=cm_cr_dp_d_rvw_avp?nodeId=G75XTB7MBMBTXP6W","Verified Purchase","I'm updating my review from 2 to 4 stars.  It appears I might have been too hasty in blaming the vomiting mentioned in my original review on the Twistix.  I waited a couple weeks and gave it another try.  She's been eating them all week (one at bed time) without any issues.  I prefer the smell (and her breath) after eating the vanilla mint, but as far as the dog is concerned, she eats both flavors with equal enthusiasm.Original Review...............My dog loves Twistix but twice now, she's thrown up a couple hours after having one at bed time.  We normally give her the vanilla mint version which she's eaten for over a year without any issues.  For some reason, the yogurt banana version doesn't agree with her system.  She weighs 50 lbs and gets only small one at bedtime, so I'm not sure what this issue is with this flavor.  We aren't doing anything differently other than having switched flavors.","One person found this helpful","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FTwistix-5-5-Ounce-Yogurt-Banana-Dental%2Fproduct-reviews%2FB00HHIM4LG%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhPnhdplOLc3FVEf6h7lNx09U53UNjqZUbQE2sVnNcW9vAAAAAGXT8iAAAAAB%26reviewId%3DR2QKU5VFMJETDW&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Helpful","Report","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hPnhdplOLc3FVEf6h7lNx09U53UNjqZUbQE2sVnNcW9vAAAAAGXT8iAAAAAB&reviewId=R2QKU5VFMJETDW","Showing  comments","0","There was a problem loading comments right now. Please try again later.","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif"
"https://www.amazon.com/gp/profile/amzn1.account.AF4BW6E7WXZ54MKHG3MK53ETUFLA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/3304dea0-0fdd-4ed9-a8f9-ccb49aa7b239._CR83,0,333,333_SX48_.jpg""/>","Louise E Stevens","https://www.amazon.com/gp/customer-reviews/RO2W02JX4I5TL/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00HHIM4LG","5.0 out of 5 stars","Made in America","Reviewed in the United States on March 5, 2018","https://www.amazon.com/gp/help/customer/display.html/ref=cm_cr_dp_d_rvw_avp?nodeId=G75XTB7MBMBTXP6W","Verified Purchase","My dogs love these. Great price. Made in America. Not too hard not too soft. does a great job on bad breath!","Report","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FTwistix-5-5-Ounce-Yogurt-Banana-Dental%2Fproduct-reviews%2FB00HHIM4LG%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhH4gIrzSBcHmLHDFWZEku8n6GDJP0uoq15HzYbx7A2ljAAAAAGXT8iAAAAAB%26reviewId%3DRO2W02JX4I5TL&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Helpful","Showing  comments","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hH4gIrzSBcHmLHDFWZEku8n6GDJP0uoq15HzYbx7A2ljAAAAAGXT8iAAAAAB&reviewId=RO2W02JX4I5TL","","0","There was a problem loading comments right now. Please try again later.","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif"
"https://www.amazon.com/gp/profile/amzn1.account.AER3BSN6WVJRZHFTNPU6DX6WMKAQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","AZDesertDrazil","https://www.amazon.com/gp/customer-reviews/R13Q4ZXRK9ALQR/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00HHIM4LG","3.0 out of 5 stars","DEFART YOUR DOGS!!","Reviewed in the United States on April 30, 2017","https://www.amazon.com/gp/help/customer/display.html/ref=cm_cr_dp_d_rvw_avp?nodeId=G75XTB7MBMBTXP6W","Verified Purchase","My 80lb+ dogs get a  tablespoon of plain, low/fat free yogurt daily in their dinners...and, as a result, DO NOT FART!!!!I don't think there's either enough yogurt in these to have the same result...and store yogurt is sure less costly!But they sure did like chewing your treats!","Report","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FTwistix-5-5-Ounce-Yogurt-Banana-Dental%2Fproduct-reviews%2FB00HHIM4LG%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhEu%252FYCpqAOofsOq%252F2v%252F%252BMCaO6Du0DGrVUpYhJN9OTgoNAAAAAGXT8iAAAAAB%26reviewId%3DR13Q4ZXRK9ALQR&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Helpful","Showing  comments","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hEu%2FYCpqAOofsOq%2F2v%2F%2BMCaO6Du0DGrVUpYhJN9OTgoNAAAAAGXT8iAAAAAB&reviewId=R13Q4ZXRK9ALQR","","0","There was a problem loading comments right now. Please try again later.","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif"
"https://www.amazon.com/gp/profile/amzn1.account.AEVEN3JETFFT4G2N6X7ZVKYE445A/ref=cm_cr_arp_d_gw_btm?ie=UTF8","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","Joaniet","https://www.amazon.com/gp/customer-reviews/R1T60VWWTDYBT0/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00HHIM4LG","5.0 out of 5 stars","Dogs approve","Reviewed in the United States on October 25, 2019","https://www.amazon.com/gp/help/customer/display.html/ref=cm_cr_dp_d_rvw_avp?nodeId=G75XTB7MBMBTXP6W","Verified Purchase","First of all they smell great! My dogs love these and the price is great","Report","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FTwistix-5-5-Ounce-Yogurt-Banana-Dental%2Fproduct-reviews%2FB00HHIM4LG%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhHDGEX6aqh0%252B%252F8kXRSljAiUBesL1lwQXv1XOLQwSRzyGAAAAAGXT8iAAAAAB%26reviewId%3DR1T60VWWTDYBT0&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Helpful","Showing  comments","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hHDGEX6aqh0%2B%2F8kXRSljAiUBesL1lwQXv1XOLQwSRzyGAAAAAGXT8iAAAAAB&reviewId=R1T60VWWTDYBT0","","0","There was a problem loading comments right now. Please try again later.","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif"
"https://www.amazon.com/gp/profile/amzn1.account.AF6YBOFHGJGMXTBCA6A7JIQP6NDA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","L HARRIS","https://www.amazon.com/gp/customer-reviews/R3VDPBEIXHOEY9/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00HHIM4LG","5.0 out of 5 stars","HOW MY DOG LIKES THEM","Reviewed in the United States on June 28, 2021","https://www.amazon.com/gp/help/customer/display.html/ref=cm_cr_dp_d_rvw_avp?nodeId=G75XTB7MBMBTXP6W","Verified Purchase","MY DOG LOVES THESE!I LOVE THE SIMPLE NO MEAT INGREDIENTS!!","Report","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FTwistix-5-5-Ounce-Yogurt-Banana-Dental%2Fproduct-reviews%2FB00HHIM4LG%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhMFjm%252BttqEUlqSDgJcdVJBTjcGv9mPZISUeNUDcnQRx1AAAAAGXT8iAAAAAB%26reviewId%3DR3VDPBEIXHOEY9&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Helpful","Showing  comments","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hMFjm%2BttqEUlqSDgJcdVJBTjcGv9mPZISUeNUDcnQRx1AAAAAGXT8iAAAAAB&reviewId=R3VDPBEIXHOEY9","","0","There was a problem loading comments right now. Please try again later.","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif"
