"a-profile href","a-profile-avatar","a-profile-name","a-size-base href","a-icon-alt","a-size-base","a-size-base 2","a-size-base 3","a-button-text href","a-size-base 4","a-size-base href 2","a-size-base 5","a-lazy-loaded src"
"https://www.amazon.com/gp/profile/amzn1.account.AENEFZQWTVQE4MM4IW6TVJ6RAC6A/ref=cm_cr_arp_d_gw_btm?ie=UTF8","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","Lourdes Valdes","https://www.amazon.com/gp/customer-reviews/R2322JK2BSZ9RM/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0175BN418","5.0 out of 5 stars","Excellent snack for bulldogs","Reviewed in the United States on October 6, 2023","Quality ingredients, smells great my bulldogs love it, size is perfect for medium dogs","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FN-Bone-Nbone-115028-Pumpkin-Mini-Medium%2Fproduct-reviews%2FB0175BN418%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhEM63xQSBrixoj2%252BLR1g7ih94I6gA11HEA9jQw1GeHEdAAAAAGXT49kAAAAB%26reviewId%3DR2322JK2BSZ9RM&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Report","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hEM63xQSBrixoj2%2BLR1g7ih94I6gA11HEA9jQw1GeHEdAAAAAGXT49kAAAAB&reviewId=R2322JK2BSZ9RM","Showing  comments",""
"https://www.amazon.com/gp/profile/amzn1.account.AECQGOZKKIEIQJFCO4L5JS56I2YA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/5d82a980-2d53-4a6a-a000-6b70f2076417._CR62,0,375,375_SX48_.jpg""/>","Carol Stopa","https://www.amazon.com/gp/customer-reviews/RBUNH0EHI134O/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0175BN418","5.0 out of 5 stars","Yummy for puppies","Reviewed in the United States on November 23, 2020","My puppy loves this bone. It’s easy for his paws to hold onto. Great for chewing and no odor.  Lasts a long time too.","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FN-Bone-Nbone-115028-Pumpkin-Mini-Medium%2Fproduct-reviews%2FB0175BN418%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhCVGqZxzPPmqS88OPYPFibWmtM5rRmp%252BDCubEvxFcoSBAAAAAGXT49kAAAAB%26reviewId%3DRBUNH0EHI134O&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Report","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hCVGqZxzPPmqS88OPYPFibWmtM5rRmp%2BDCubEvxFcoSBAAAAAGXT49kAAAAB&reviewId=RBUNH0EHI134O","Showing  comments","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif"
"https://www.amazon.com/gp/profile/amzn1.account.AEP7P2O2D3RLTQA7HP4S3GIQWN6A/ref=cm_cr_arp_d_gw_btm?ie=UTF8","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","Veronica","https://www.amazon.com/gp/customer-reviews/R2Z4WK5Y3V59ES/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0175BN418","5.0 out of 5 stars","Dog approved","Reviewed in the United States on May 18, 2020","Dogs chewed the bone out of the package! This was a great treat that’s easy to digest but keeps chewers busy for a little while. The pumpkin flavor was a hit!","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FN-Bone-Nbone-115028-Pumpkin-Mini-Medium%2Fproduct-reviews%2FB0175BN418%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhIWpNCYIvBsJrB7YbChYJiQGPxYein%252Fi9jzxksgfov%252FPAAAAAGXT49kAAAAB%26reviewId%3DR2Z4WK5Y3V59ES&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Report","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hIWpNCYIvBsJrB7YbChYJiQGPxYein%2Fi9jzxksgfov%2FPAAAAAGXT49kAAAAB&reviewId=R2Z4WK5Y3V59ES","Showing  comments","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif"
"https://www.amazon.com/gp/profile/amzn1.account.AEB5HEZYDURY7RLNDY5EEL2Z5TOA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/e396c217-0814-40e5-aa54-716b9c631414._CR0,0,500,500_SX48_.jpg""/>","V. Fischer","https://www.amazon.com/gp/customer-reviews/RJKESK90PMICK/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0175BN418","3.0 out of 5 stars","Great bone. Expensive","Reviewed in the United States on December 5, 2022","These were great for my dogs to hold and they really enjoyed them.  But they gave them horrible diarrhea. Too bad because I am always searching for something to keep them busy.  They are expensive though. So I won’t miss buying them.  I still think yak chews are better all around. And will go back to them","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FN-Bone-Nbone-115028-Pumpkin-Mini-Medium%2Fproduct-reviews%2FB0175BN418%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhHROLl%252FsxNuHTFapdNMtgFqFk0iTMS5O4Wg%252FO0qYifRwAAAAAGXT49kAAAAB%26reviewId%3DRJKESK90PMICK&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Report","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hHROLl%2FsxNuHTFapdNMtgFqFk0iTMS5O4Wg%2FO0qYifRwAAAAAGXT49kAAAAB&reviewId=RJKESK90PMICK","Showing  comments","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif"
"https://www.amazon.com/gp/profile/amzn1.account.AGFKI7DHVO3J3KXRPBNOAHJHHSKQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","grandmagail","https://www.amazon.com/gp/customer-reviews/R1VNR2ISQFES0M/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0175BN418","5.0 out of 5 stars","Tottaly sade","Reviewed in the United States on May 3, 2018","This item can be totally ingested by your dog. My dog is occupied for many hours and loves this item.","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FN-Bone-Nbone-115028-Pumpkin-Mini-Medium%2Fproduct-reviews%2FB0175BN418%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhHwCik982cwuFnnZFxOsj3ZH%252FHj5lZcwhr%252FnPy72ffoFAAAAAGXT49kAAAAB%26reviewId%3DR1VNR2ISQFES0M&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","One person found this helpful","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hHwCik982cwuFnnZFxOsj3ZH%2FHj5lZcwhr%2FnPy72ffoFAAAAAGXT49kAAAAB&reviewId=R1VNR2ISQFES0M","Report","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif"
"https://www.amazon.com/gp/profile/amzn1.account.AFYTODRGSALHDIJ4C4ROHYWIUYJA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","Jeannie","https://www.amazon.com/gp/customer-reviews/R3RGRY8ULUGKDZ/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0175BN418","3.0 out of 5 stars","Loved it, but only lasted 5 min.","Reviewed in the United States on October 21, 2021","Pup absolutely loved this bone! I bought it thinking it would keep him busy for a couple days. But soft, was gone in 5 min.","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FN-Bone-Nbone-115028-Pumpkin-Mini-Medium%2Fproduct-reviews%2FB0175BN418%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhJuVv5BNiQtsC54RYTP89Z3JHoTHdMOoh6ipWL1uiMohAAAAAGXT49kAAAAB%26reviewId%3DR3RGRY8ULUGKDZ&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Report","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hJuVv5BNiQtsC54RYTP89Z3JHoTHdMOoh6ipWL1uiMohAAAAAGXT49kAAAAB&reviewId=R3RGRY8ULUGKDZ","Showing  comments","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif"
"https://www.amazon.com/gp/profile/amzn1.account.AEK34XTTACQFCPBHBMPCYLIAK5MA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","Angel Holmes","https://www.amazon.com/gp/customer-reviews/R1SFSOGY4PP45O/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0175BN418","1.0 out of 5 stars","It was broken when it was received it. And it can’t be returned","Reviewed in the United States on June 28, 2022","It was broken in 3 spots. And a no return policy.","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FN-Bone-Nbone-115028-Pumpkin-Mini-Medium%2Fproduct-reviews%2FB0175BN418%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhB3r5oo2GD8Mpupg1kQaabRfwLrucZrsFmOJjNztBfq4AAAAAGXT49kAAAAB%26reviewId%3DR1SFSOGY4PP45O&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Report","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hB3r5oo2GD8Mpupg1kQaabRfwLrucZrsFmOJjNztBfq4AAAAAGXT49kAAAAB&reviewId=R1SFSOGY4PP45O","Showing  comments","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif"
"https://www.amazon.com/gp/profile/amzn1.account.AF2KBD4A6FE2AEUHO4E6AJYHOSZQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","SG","https://www.amazon.com/gp/customer-reviews/R9JIS20QYRSKK/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0175BN418","3.0 out of 5 stars","Broke quickly","Reviewed in the United States on September 12, 2020","My dog really liked the shape of this to hold part and chew the rest. But after only a couple days one of the legs broke off, which left it not any better than a regular bone. Dog is 8 pound puppy, not a giant strong dog or anything!","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FN-Bone-Nbone-115028-Pumpkin-Mini-Medium%2Fproduct-reviews%2FB0175BN418%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhC2ncei0cNXkFVkUU%252BvcixroXA3va4GqmoBoYefKHayQAAAAAGXT49kAAAAB%26reviewId%3DR9JIS20QYRSKK&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Report","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hC2ncei0cNXkFVkUU%2BvcixroXA3va4GqmoBoYefKHayQAAAAAGXT49kAAAAB&reviewId=R9JIS20QYRSKK","Showing  comments","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif"
"https://www.amazon.com/gp/profile/amzn1.account.AFPOKXSPK2E35F35WVMFXRQUWVKQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/960cbd6b-7b2b-4f7b-a59f-c92e883a812e._CR0,0,1080,1080_SX48_.jpg""/>","Nick","https://www.amazon.com/gp/customer-reviews/R23K068TSM0EBJ/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0175BN418","3.0 out of 5 stars","Gone quick!","Reviewed in the United States on January 11, 2021","Pup loved this,  but it disappeared VERY quickly. Gone in about 10min.","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FN-Bone-Nbone-115028-Pumpkin-Mini-Medium%2Fproduct-reviews%2FB0175BN418%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhKYXhFx%252B0GF6lDlNGEL1MMQiRWjTfMDmtFnXseMYCoKwAAAAAGXT49kAAAAB%26reviewId%3DR23K068TSM0EBJ&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Report","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hKYXhFx%2B0GF6lDlNGEL1MMQiRWjTfMDmtFnXseMYCoKwAAAAAGXT49kAAAAB&reviewId=R23K068TSM0EBJ","Showing  comments","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif"
"https://www.amazon.com/gp/profile/amzn1.account.AGJT4VL4DGG6NFK3CZ3WHSMJF4HQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","Nicole L","https://www.amazon.com/gp/customer-reviews/RMJLYMHBFTRWQ/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0175BN418","5.0 out of 5 stars","Pup would give it 5 stars","Reviewed in the United States on March 15, 2021","My pup loved it! However as a small dog, Boston Terrier, it did not last long at all, especially for the price. But my pup would give it 5 stars for sure!","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FN-Bone-Nbone-115028-Pumpkin-Mini-Medium%2Fproduct-reviews%2FB0175BN418%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhGu4EO5TfvzdOR9vo%252BkmbGd5kehK%252F0u9qiOl%252BolqcnWcAAAAAGXT49kAAAAB%26reviewId%3DRMJLYMHBFTRWQ&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Report","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hGu4EO5TfvzdOR9vo%2BkmbGd5kehK%2F0u9qiOl%2BolqcnWcAAAAAGXT49kAAAAB&reviewId=RMJLYMHBFTRWQ","Showing  comments","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif"