"a-profile href","a-profile-avatar src","a-profile-avatar","a-profile-name","a-size-base href","a-icon-alt","a-size-base","a-size-base 2","a-link-normal href","a-size-mini","a-size-base 3","a-size-base 4","a-button-text href","cr-helpful-text","a-size-base 5","a-size-base href 2","a-size-base 6","review-comment-count","a-alert-heading","a-lazy-loaded src"
"https://www.amazon.com/gp/profile/amzn1.account.AFRKEL4OHEXSYI7D3GK5NYQSMOIQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","Pat","https://www.amazon.com/gp/customer-reviews/RC95350NLD63B/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B017YAHVA0","5.0 out of 5 stars","Fantastic","Reviewed in the United States on June 16, 2023","https://www.amazon.com/gp/help/customer/display.html/ref=cm_cr_dp_d_rvw_avp?nodeId=G75XTB7MBMBTXP6W","Verified Purchase","My dog gobbles these up and they really do aide in digestion.","2 people found this helpful","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FGet-Naked-Digestive-Health-Treats%2Fproduct-reviews%2FB017YAHVA0%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhPx%252Frlawg8tJIo%252BxABwXkEBK7LKIgQDWnnKRr8g4LMEbAAAAAGXT4REAAAAB%26reviewId%3DRC95350NLD63B&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Helpful","Report","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hPx%2Frlawg8tJIo%2BxABwXkEBK7LKIgQDWnnKRr8g4LMEbAAAAAGXT4REAAAAB&reviewId=RC95350NLD63B","Showing  comments","0","There was a problem loading comments right now. Please try again later.",""
"https://www.amazon.com/gp/profile/amzn1.account.AEU5JANZXF6NP3DHZH7H7EI2B7YA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","Anne","https://www.amazon.com/gp/customer-reviews/R1ZSWFBI8KBU2Q/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B017YAHVA0","5.0 out of 5 stars","My Dog Loves Them","Reviewed in the United States on September 15, 2018","https://www.amazon.com/gp/help/customer/display.html/ref=cm_cr_dp_d_rvw_avp?nodeId=G75XTB7MBMBTXP6W","Verified Purchase","They're small and soft, my dog loves them and they seem to help keep him regular so that he goes at least once a day. I first found these at a pet store while volunteering at an adoption event for a local rescue. I was looking for a soft treat I could give the dogs I was handling. I decided to give these a try and all the dogs around me (both big and small) loved them so much they barely gave me a chance to take them out of the package. After that I decided to buy them for my dog (he's a Lahsa Apso), and he really loved them and this brand in general. I buy him these, the ones for a healthy coat, and the digestive health sticks.","2 people found this helpful","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FGet-Naked-Digestive-Health-Treats%2Fproduct-reviews%2FB017YAHVA0%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhNBhjXMWiAUomCscv2%252BaV%252BzN6%252FQgOn%252BU%252BqzipALGUjtaAAAAAGXT4REAAAAB%26reviewId%3DR1ZSWFBI8KBU2Q&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Helpful","Report","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hNBhjXMWiAUomCscv2%2BaV%2BzN6%2FQgOn%2BU%2BqzipALGUjtaAAAAAGXT4REAAAAB&reviewId=R1ZSWFBI8KBU2Q","Showing  comments","0","There was a problem loading comments right now. Please try again later.",""
"https://www.amazon.com/gp/profile/amzn1.account.AGFXB5CA3WAZBJFVZXCRALDC3CVA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","Amazon Customer","https://www.amazon.com/gp/customer-reviews/R3SX2SOZ046WTN/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B017YAHVA0","5.0 out of 5 stars","Dog treats","Reviewed in the United States on August 9, 2023","https://www.amazon.com/gp/help/customer/display.html/ref=cm_cr_dp_d_rvw_avp?nodeId=G75XTB7MBMBTXP6W","Verified Purchase","Excellent seller and will buy again","Report","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FGet-Naked-Digestive-Health-Treats%2Fproduct-reviews%2FB017YAHVA0%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhBIhBah8hSfRGdAeg6VaDDWU1CPMmfFDar%252BtNn%252BM5g4JAAAAAGXT4REAAAAB%26reviewId%3DR3SX2SOZ046WTN&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Helpful","Showing  comments","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hBIhBah8hSfRGdAeg6VaDDWU1CPMmfFDar%2BtNn%2BM5g4JAAAAAGXT4REAAAAB&reviewId=R3SX2SOZ046WTN","","0","There was a problem loading comments right now. Please try again later.","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif"
"https://www.amazon.com/gp/profile/amzn1.account.AGNN4OLR2KVUX7IVFQ7CMSAW2KTA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/b3a401f5-8e14-4dc7-a929-911ef405b841._CR0,26.0,281,281_SX48_.jpg""/>","311Daisy","https://www.amazon.com/gp/customer-reviews/R2Z8S6NJG7QI5F/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B017YAHVA0","3.0 out of 5 stars","Very Tiny!!","Reviewed in the United States on April 19, 2023","https://www.amazon.com/gp/help/customer/display.html/ref=cm_cr_dp_d_rvw_avp?nodeId=G75XTB7MBMBTXP6W","Verified Purchase","These were selected as an alternative due to our normal treats being out of stock and they are so tiny!! I have a 75 lb Pittbull and she comes in from going outside if she stands on her rug and wipes her feet she gets a treat.  Well with these it was like 5-6 was 1 normal treat. They look like kitten sized treats. She did not hate the taste though.","Report","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FGet-Naked-Digestive-Health-Treats%2Fproduct-reviews%2FB017YAHVA0%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhHeOiIkuc9aPq3HgOKXsh0KecUN2qYiwQoEDsptTttS6AAAAAGXT4REAAAAB%26reviewId%3DR2Z8S6NJG7QI5F&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Helpful","Showing  comments","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hHeOiIkuc9aPq3HgOKXsh0KecUN2qYiwQoEDsptTttS6AAAAAGXT4REAAAAB&reviewId=R2Z8S6NJG7QI5F","","0","There was a problem loading comments right now. Please try again later.","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif"
"https://www.amazon.com/gp/profile/amzn1.account.AFHTQV62DZANGUQJ56AXK2P55RDA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/13af84aa-65ab-4d0e-a974-09fcad513620._CR74,0,351,351_SX48_.jpg""/>","Jewel","https://www.amazon.com/gp/customer-reviews/R1W9P78FN71LE0/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B017YAHVA0","5.0 out of 5 stars","My Older Doggie Loves These!","Reviewed in the United States on January 11, 2023","https://www.amazon.com/gp/help/customer/display.html/ref=cm_cr_dp_d_rvw_avp?nodeId=G75XTB7MBMBTXP6W","Verified Purchase","My poodle mutt, Humphrey, has the worst teeth of all the dogs we've ever owned. Yes, he gets regular dental cleanings but loses teeth and recently had one pulled (to the tune of $900). Needless to say, Humphrey prefers smaller, softer chews...and these are the best, or so he says! Our big dog likes them too!","3 people found this helpful","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FGet-Naked-Digestive-Health-Treats%2Fproduct-reviews%2FB017YAHVA0%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhCdogv4mcq8Bn5qLfjLfmyop6%252Fa7Kpeiz43cQLEmhSd%252FAAAAAGXT4REAAAAB%26reviewId%3DR1W9P78FN71LE0&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Helpful","Report","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hCdogv4mcq8Bn5qLfjLfmyop6%2Fa7Kpeiz43cQLEmhSd%2FAAAAAGXT4REAAAAB&reviewId=R1W9P78FN71LE0","Showing  comments","0","There was a problem loading comments right now. Please try again later.","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif"
"https://www.amazon.com/gp/profile/amzn1.account.AFO5KXOKC6IZIXP3G4WZM65R4X2A/ref=cm_cr_arp_d_gw_btm?ie=UTF8","","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","bgadoury","https://www.amazon.com/gp/customer-reviews/R24DU5092QAITU/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B017YAHVA0","5.0 out of 5 stars","My Dogs Love These Treats!","Reviewed in the United States on November 17, 2022","https://www.amazon.com/gp/help/customer/display.html/ref=cm_cr_dp_d_rvw_avp?nodeId=G75XTB7MBMBTXP6W","Verified Purchase","Hard to find.  Dogs love them.  Very healthy.  Made in USA.  My dogs wait for their Amazon delivery for their ""chicky, chicky's"".","2 people found this helpful","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FGet-Naked-Digestive-Health-Treats%2Fproduct-reviews%2FB017YAHVA0%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhPEZJEFFwwfldXWu1SQgQNtnzxbGaNODuAAfKlbUkhddAAAAAGXT4REAAAAB%26reviewId%3DR24DU5092QAITU&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Helpful","Report","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hPEZJEFFwwfldXWu1SQgQNtnzxbGaNODuAAfKlbUkhddAAAAAGXT4REAAAAB&reviewId=R24DU5092QAITU","Showing  comments","0","There was a problem loading comments right now. Please try again later.","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif"
"https://www.amazon.com/gp/profile/amzn1.account.AFL7DSBTW6EZDLEGLLG5J7WW5VPQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","Beverly Porter","https://www.amazon.com/gp/customer-reviews/RJKATOVD8EOSR/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B017YAHVA0","5.0 out of 5 stars","Great product","Reviewed in the United States on March 16, 2021","https://www.amazon.com/gp/help/customer/display.html/ref=cm_cr_dp_d_rvw_avp?nodeId=G75XTB7MBMBTXP6W","Verified Purchase","My dog has digestive issues and these treats seem to help with her digestion. Tinker bell loves the flavor beef yummy they even smell good!👍","One person found this helpful","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FGet-Naked-Digestive-Health-Treats%2Fproduct-reviews%2FB017YAHVA0%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhAz3bXTcxw5LF3LpROqU0l8FdWDSOmtewK4mOYuNCrWlAAAAAGXT4REAAAAB%26reviewId%3DRJKATOVD8EOSR&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Helpful","Report","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hAz3bXTcxw5LF3LpROqU0l8FdWDSOmtewK4mOYuNCrWlAAAAAGXT4REAAAAB&reviewId=RJKATOVD8EOSR","Showing  comments","0","There was a problem loading comments right now. Please try again later.","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif"
"https://www.amazon.com/gp/profile/amzn1.account.AHLG332IZDNLKYNV7NRKYKVWFQTQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","WP","https://www.amazon.com/gp/customer-reviews/R2I2Q1AKGJAC0B/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B017YAHVA0","2.0 out of 5 stars","Not for us","Reviewed in the United States on October 6, 2022","https://www.amazon.com/gp/help/customer/display.html/ref=cm_cr_dp_d_rvw_avp?nodeId=G75XTB7MBMBTXP6W","Verified Purchase","The treats are not chews, they are crumbly, which my senior dogs was okay with. Started out with 4 treats per day, crumbling it over his food. The stool was a little softer than I would like so I reduced it to 2 per day. Then my dog started vomiting after meals. I stopped the treats, gave the same food and he stopped vomiting. Sadly, these treats were not for us.","2 people found this helpful","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FGet-Naked-Digestive-Health-Treats%2Fproduct-reviews%2FB017YAHVA0%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhARcoOKiS%252FFU0tVxVL9KvjEU6Dt4c2cdv7DByTC0YDrOAAAAAGXT4REAAAAB%26reviewId%3DR2I2Q1AKGJAC0B&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Helpful","Report","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hARcoOKiS%2FFU0tVxVL9KvjEU6Dt4c2cdv7DByTC0YDrOAAAAAGXT4REAAAAB&reviewId=R2I2Q1AKGJAC0B","Showing  comments","0","There was a problem loading comments right now. Please try again later.","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif"
"https://www.amazon.com/gp/profile/amzn1.account.AGOEGAPCAW6YSYVLB234I4EYVEFQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","Amazon Customer","https://www.amazon.com/gp/customer-reviews/R1EL6A6B4LVHV3/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B017YAHVA0","5.0 out of 5 stars","Good treats","Reviewed in the United States on June 15, 2021","https://www.amazon.com/gp/help/customer/display.html/ref=cm_cr_dp_d_rvw_avp?nodeId=G75XTB7MBMBTXP6W","Verified Purchase","I give these to my dog daily and he loves them. I feel like they keep him more regular and he doesn’t have loose bm as often when.","One person found this helpful","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FGet-Naked-Digestive-Health-Treats%2Fproduct-reviews%2FB017YAHVA0%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhOfFoHL2PFbSkqIIPJJvVTqNDQU59J4RoZzDJXteP1VWAAAAAGXT4REAAAAB%26reviewId%3DR1EL6A6B4LVHV3&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Helpful","Report","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hOfFoHL2PFbSkqIIPJJvVTqNDQU59J4RoZzDJXteP1VWAAAAAGXT4REAAAAB&reviewId=R1EL6A6B4LVHV3","Showing  comments","0","There was a problem loading comments right now. Please try again later.","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif"
