"a-profile href","a-profile-avatar src","a-profile-avatar","a-profile-name","a-size-base href","a-icon-alt","a-size-base","a-size-base 2","a-link-normal href","a-size-mini","a-size-base 3","a-button-text href","cr-helpful-text","a-size-base 4","a-size-base href 2","a-size-base 5","review-comment-count","a-alert-heading","a-lazy-loaded src","a-size-base 6"
"https://www.amazon.com/gp/profile/amzn1.account.AHYANTWQJ6SKN5WWVHBAWXYZDOUQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/a4f64ba0-4217-49d1-923f-da242e447257._CR0,32.0,269,269_SX48_.jpg","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/a4f64ba0-4217-49d1-923f-da242e447257._CR0,32.0,269,269_SX48_.jpg""/>","Tiffany","https://www.amazon.com/gp/customer-reviews/R1MQNM13Q8XH9D/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01JONKI9Q","5.0 out of 5 stars","Dogs love them!","Reviewed in the United States on January 11, 2023","https://www.amazon.com/gp/help/customer/display.html/ref=cm_cr_dp_d_rvw_avp?nodeId=G75XTB7MBMBTXP6W","Verified Purchase","My dogs love these! My 15year old, 18lb dachshund can chew these with no problem. We can tell a difference with his breath, but we still need to brush his teeth. Our German Shepherd loves them as well. She has a sensitive tummy and we have not had any issues.","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FGet-Naked-Grain-Dental-Sticks%2Fproduct-reviews%2FB01JONKI9Q%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhGbBwuAGGCmNVRXb2pJoFL0AjKDaBLOEBtTulj9zdqSKAAAAAGXT1HAAAAAB%26reviewId%3DR1MQNM13Q8XH9D&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Helpful","Report","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hGbBwuAGGCmNVRXb2pJoFL0AjKDaBLOEBtTulj9zdqSKAAAAAGXT1HAAAAAB&reviewId=R1MQNM13Q8XH9D","Showing  comments","0","There was a problem loading comments right now. Please try again later.","",""
"https://www.amazon.com/gp/profile/amzn1.account.AGXZYESNQKVLU62M5N2J3GTHPNTQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","Shopaholic","https://www.amazon.com/gp/customer-reviews/RS0WAW1RCIKCT/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01JONKI9Q","5.0 out of 5 stars","A pet favorite","Reviewed in the United States on June 30, 2017","https://www.amazon.com/gp/help/customer/display.html/ref=cm_cr_dp_d_rvw_avp?nodeId=G75XTB7MBMBTXP6W","Verified Purchase","My dog loves all of the Get Naked dog chews.  We had to stop giving her anything made of rawhide or bone years ago, because she would swallow the treat in large chunks.  We found this product years ago and they have helped to keep her teeth.  In fact, her regularly veterinarian has been very pleased by how nice her teeth looked.  She celebrated her 13th birthday this year, and it was the first time the vet has recommended that she have plaque removed from her teeth.  A good diet and these dog chews have really helped to keep her teeth in great shape.","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FGet-Naked-Grain-Dental-Sticks%2Fproduct-reviews%2FB01JONKI9Q%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhEIddy7IO4oX4lwAGH%252FTztw6ZDnTNY1KU%252FsxVrM24F8XAAAAAGXT1HAAAAAB%26reviewId%3DRS0WAW1RCIKCT&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Helpful","Report","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hEIddy7IO4oX4lwAGH%2FTztw6ZDnTNY1KU%2FsxVrM24F8XAAAAAGXT1HAAAAAB&reviewId=RS0WAW1RCIKCT","Showing  comments","0","There was a problem loading comments right now. Please try again later.","",""
"https://www.amazon.com/gp/profile/amzn1.account.AG5FGYTBMQ6TVJW4UN3CG6SZMQIA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","Leila","https://www.amazon.com/gp/customer-reviews/R25BAYESKMHSDX/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01JONKI9Q","5.0 out of 5 stars","My dog loves these.","Reviewed in the United States on May 18, 2022","https://www.amazon.com/gp/help/customer/display.html/ref=cm_cr_dp_d_rvw_avp?nodeId=G75XTB7MBMBTXP6W","Verified Purchase","These are healthy and they provide some helpful supplements- probiotics and digestive aids, skin and coat, antioxidants and joint health.","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FGet-Naked-Grain-Dental-Sticks%2Fproduct-reviews%2FB01JONKI9Q%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhNPqwzh%252F3VXyU%252F3Juw2SZwBVCrjYL1vIDyFKdksHeIrwAAAAAGXT1HAAAAAB%26reviewId%3DR25BAYESKMHSDX&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Helpful","Report","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hNPqwzh%2F3VXyU%2F3Juw2SZwBVCrjYL1vIDyFKdksHeIrwAAAAAGXT1HAAAAAB&reviewId=R25BAYESKMHSDX","Showing  comments","0","There was a problem loading comments right now. Please try again later.","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif",""
"https://www.amazon.com/gp/profile/amzn1.account.AHVQUO7VJMEYTAWNEQJZCB4FRGTA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","Stick","https://www.amazon.com/gp/customer-reviews/R2DRTI0EYTBBKN/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01JONKI9Q","5.0 out of 5 stars","My girlie has hair on her belly again.","Reviewed in the United States on January 6, 2020","https://www.amazon.com/gp/help/customer/display.html/ref=cm_cr_dp_d_rvw_avp?nodeId=G75XTB7MBMBTXP6W","Verified Purchase","I'm not sure what caused it but my little girlie lost pretty much all the hair on her belly.  I talked to the vet about it and he said sometimes it just happens.  I started giving her these treats every day and she has hair on her belly again.  It's not as thick as when she was younger but it's way better than it was.","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FGet-Naked-Grain-Dental-Sticks%2Fproduct-reviews%2FB01JONKI9Q%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhN9KFicsn8SCHAZFWoShcgBtTlavU6EZvurc155Z%252FgyvAAAAAGXT1HAAAAAB%26reviewId%3DR2DRTI0EYTBBKN&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Helpful","Report","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hN9KFicsn8SCHAZFWoShcgBtTlavU6EZvurc155Z%2FgyvAAAAAGXT1HAAAAAB&reviewId=R2DRTI0EYTBBKN","Showing  comments","0","There was a problem loading comments right now. Please try again later.","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif",""
"https://www.amazon.com/gp/profile/amzn1.account.AEWAV5MAHRSH6IXZDRSKTRBNROTA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","Brittany W","https://www.amazon.com/gp/customer-reviews/R2408L6FU3UF55/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01JONKI9Q","4.0 out of 5 stars","No complaints from my dog","Reviewed in the United States on July 16, 2023","https://www.amazon.com/gp/help/customer/display.html/ref=cm_cr_dp_d_rvw_avp?nodeId=G75XTB7MBMBTXP6W","Verified Purchase","My dog loves them but there are only 6 in the pack.","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FGet-Naked-Grain-Dental-Sticks%2Fproduct-reviews%2FB01JONKI9Q%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhJeFYiztFffQQGAQ%252BcTQu6JdIIBnHXMSvNBBeYhD3MCnAAAAAGXT1HAAAAAB%26reviewId%3DR2408L6FU3UF55&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Helpful","Report","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hJeFYiztFffQQGAQ%2BcTQu6JdIIBnHXMSvNBBeYhD3MCnAAAAAGXT1HAAAAAB&reviewId=R2408L6FU3UF55","Showing  comments","0","There was a problem loading comments right now. Please try again later.","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif",""
"https://www.amazon.com/gp/profile/amzn1.account.AES2FXEG6ELSVT2THCFKU4YYEIAQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/1802b9d4-d47d-4f61-b544-c1af36b7f492._CR0,0,200,200_SX48_.jpg""/>","Addy","https://www.amazon.com/gp/customer-reviews/R50OT4P3817GG/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01JONKI9Q","5.0 out of 5 stars","Chew sticks that my dogs love.","Reviewed in the United States on August 19, 2017","https://www.amazon.com/gp/help/customer/display.html/ref=cm_cr_dp_d_rvw_avp?nodeId=G75XTB7MBMBTXP6W","Verified Purchase","I have two dogs who have the need to chew on a chew stick however they were getting sick to their stomaches often.  I tried these ""Get Naked"" in all different formula's ~ my furry babies love them and never ever get sick on them.Just be careful toured the size you need. I have small dogs so I need to order small.They have a large one for large dogs.These dog chews were a life saver for our dogs & for us ~ made in the USA.","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FGet-Naked-Grain-Dental-Sticks%2Fproduct-reviews%2FB01JONKI9Q%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhEMhPJ9%252F2U0D3iGPG435rsvwvA92QFuSAtqXGa%252FZ53D3AAAAAGXT1HAAAAAB%26reviewId%3DR50OT4P3817GG&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Helpful","One person found this helpful","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hEMhPJ9%2F2U0D3iGPG435rsvwvA92QFuSAtqXGa%2FZ53D3AAAAAGXT1HAAAAAB&reviewId=R50OT4P3817GG","Report","0","There was a problem loading comments right now. Please try again later.","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif","Showing  comments"
"https://www.amazon.com/gp/profile/amzn1.account.AE5MWS4YZXQE57QEAWHAIZ7SEC5A/ref=cm_cr_arp_d_gw_btm?ie=UTF8","","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/5ab28b09-882b-4c56-8588-442f2f8cebb1._CR0,0,150,150_SX48_.jpg""/>","Amanda","https://www.amazon.com/gp/customer-reviews/R1HHOJCD2XMQ5B/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01JONKI9Q","5.0 out of 5 stars","My dog's favorite.","Reviewed in the United States on January 2, 2019","https://www.amazon.com/gp/help/customer/display.html/ref=cm_cr_dp_d_rvw_avp?nodeId=G75XTB7MBMBTXP6W","Verified Purchase","I don't know what it is, but nothing drives my dog crazy like the Get Naked chew sticks. I'm very picky about what I feed  him, so it's a win for both of us that he's so wild about them! I'm extra happy that I can get them for a fraction of the price they normally cost if I buy them in a brick and mortar pet store.","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FGet-Naked-Grain-Dental-Sticks%2Fproduct-reviews%2FB01JONKI9Q%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhCyUpJfZfiBQWB0QdUW1UPWvczyRYJJx%252F35EN8b2rE9gAAAAAGXT1HAAAAAB%26reviewId%3DR1HHOJCD2XMQ5B&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Helpful","Report","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hCyUpJfZfiBQWB0QdUW1UPWvczyRYJJx%2F35EN8b2rE9gAAAAAGXT1HAAAAAB&reviewId=R1HHOJCD2XMQ5B","Showing  comments","0","There was a problem loading comments right now. Please try again later.","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif",""
"https://www.amazon.com/gp/profile/amzn1.account.AHHFSHXXNY2AQAU6JJGV3RIR3HLQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","Frank T.","https://www.amazon.com/gp/customer-reviews/R29S98GZOMBPZU/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01JONKI9Q","5.0 out of 5 stars","Little guy loves it","Reviewed in the United States on May 10, 2017","https://www.amazon.com/gp/help/customer/display.html/ref=cm_cr_dp_d_rvw_avp?nodeId=G75XTB7MBMBTXP6W","Verified Purchase","Our Shih-Tzu is crazy about these little bones.  Because he is small, we tear them in half and he's usually done with one in under 5 minutes.  We chose this because he at times was having a reddish, itchy colored skin that was bothering him.  Can't tell if it's these or the fish oil we've been adding to his food, but so far his skin has seemed way way better!  Great product.","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FGet-Naked-Grain-Dental-Sticks%2Fproduct-reviews%2FB01JONKI9Q%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhJ%252Fd0aR0zM1jIVY69ohAPW80ns53S2wb6pldwa6TS3Y0AAAAAGXT1HAAAAAB%26reviewId%3DR29S98GZOMBPZU&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Helpful","One person found this helpful","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hJ%2Fd0aR0zM1jIVY69ohAPW80ns53S2wb6pldwa6TS3Y0AAAAAGXT1HAAAAAB&reviewId=R29S98GZOMBPZU","Report","0","There was a problem loading comments right now. Please try again later.","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif","Showing  comments"
"https://www.amazon.com/gp/profile/amzn1.account.AEG4NGR3S5RCJMF5PP52D5NQUIJA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","Rachel","https://www.amazon.com/gp/customer-reviews/R22SHL7ICQP3EA/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01JONKI9Q","3.0 out of 5 stars","Not good","Reviewed in the United States on August 10, 2023","https://www.amazon.com/gp/help/customer/display.html/ref=cm_cr_dp_d_rvw_avp?nodeId=G75XTB7MBMBTXP6W","Verified Purchase","My puppies got diarrhea from eating these","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FGet-Naked-Grain-Dental-Sticks%2Fproduct-reviews%2FB01JONKI9Q%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhIRDZa6xoDCpncmlmcVFFA%252FtolEB7BmH4BQ5jQFm3nDFAAAAAGXT1HAAAAAB%26reviewId%3DR22SHL7ICQP3EA&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Helpful","Report","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hIRDZa6xoDCpncmlmcVFFA%2FtolEB7BmH4BQ5jQFm3nDFAAAAAGXT1HAAAAAB&reviewId=R22SHL7ICQP3EA","Showing  comments","0","There was a problem loading comments right now. Please try again later.","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif",""
"https://www.amazon.com/gp/profile/amzn1.account.AHZGUA3QMCQUI44YHGT53KZYBCCQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/c90f461b-e15d-471f-8990-a26a064780ec._CR0,0,351,351_SX48_.jpg""/>","Cali","https://www.amazon.com/gp/customer-reviews/R2G2RAMRESW1AS/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01JONKI9Q","4.0 out of 5 stars","It's ok","Reviewed in the United States on December 17, 2022","https://www.amazon.com/gp/help/customer/display.html/ref=cm_cr_dp_d_rvw_avp?nodeId=G75XTB7MBMBTXP6W","Verified Purchase","We got weight management treats and this..but this have less calories than the weight management ones !!?","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FGet-Naked-Grain-Dental-Sticks%2Fproduct-reviews%2FB01JONKI9Q%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhAY03E3EhdFqsVNK2wZ3YSCSIqr%252BzxuwizYRoD4%252BMRQQAAAAAGXT1HAAAAAB%26reviewId%3DR2G2RAMRESW1AS&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Helpful","One person found this helpful","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hAY03E3EhdFqsVNK2wZ3YSCSIqr%2BzxuwizYRoD4%2BMRQQAAAAAGXT1HAAAAAB&reviewId=R2G2RAMRESW1AS","Report","0","There was a problem loading comments right now. Please try again later.","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif","Showing  comments"
"https://www.amazon.com/gp/profile/amzn1.account.AGTCQUPAKHEYJMAT5UOULTKT3CDQ/ref=cm_cr_getr_d_gw_btm?ie=UTF8","https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","Amazon Customer","https://www.amazon.com/gp/customer-reviews/R2BU5Z7GLNIX7U/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B01JONKI9Q","1.0 out of 5 stars","New thickness not such a good deal","Reviewed in the United States on January 21, 2024","https://www.amazon.com/gp/help/customer/display.html/ref=cm_cr_dp_d_rvw_avp?nodeId=G75XTB7MBMBTXP6W","Verified Purchase","The manufacturer has thickened the thickness of the sticks and maybe either the new size or sticks that were not fresh were impossible to break, cut, or saw so that my small- medium sized dogs could chew through them. I’d like to order more if they could send me the fresher and smaller sticks. Impenetrable!","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FGet-Naked-Grain-Dental-Sticks%2Fproduct-reviews%2FB01JONKI9Q%2Fref%3Dcm_cr_getr_d_vote_lft%3Fie%3DUTF8%26pageSize%3D10%26csrfT%3DhIlkhxP50GnNI94JDJLGG3pGuyPC2s3P%252Bt7LW4qOeJgwAAAAAGXT1IUAAAAB%26reviewId%3DR2BU5Z7GLNIX7U&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Helpful","Report","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_getr_d_rvw_hlp&csrfT=hIlkhxP50GnNI94JDJLGG3pGuyPC2s3P%2Bt7LW4qOeJgwAAAAAGXT1IUAAAAB&reviewId=R2BU5Z7GLNIX7U","Showing  comments","0","There was a problem loading comments right now. Please try again later.","",""
