"a-profile href","a-profile-avatar src","a-profile-avatar","a-profile-name","a-size-base href","a-icon-alt","a-size-base","a-size-base 2","a-link-normal href","a-size-mini","a-size-base 3","a-button-text href","a-size-base 4","a-size-base href 2","a-size-base 5","a-lazy-loaded src"
"https://www.amazon.com/gp/profile/amzn1.account.AH5HZWFVRTIFKAVAJ3L5EFIF7I2A/ref=cm_cr_arp_d_gw_btm?ie=UTF8","https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/e17647ad-2379-402d-97c2-834e6677be1c._CR328,0,843,843_SX48_.jpg","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/e17647ad-2379-402d-97c2-834e6677be1c._CR328,0,843,843_SX48_.jpg""/>","Catblu","https://www.amazon.com/gp/customer-reviews/R38OUB3W2I043F/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B093QSLWZ8","5.0 out of 5 stars","Yummy","Reviewed in the United States on March 30, 2023","https://www.amazon.com/gp/help/customer/display.html/ref=cm_cr_dp_d_rvw_avp?nodeId=G75XTB7MBMBTXP6W","Verified Purchase","Sadie loves her morning Rings great way to start her day before eating Breakfast","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FN-Bone-Teething-Salmon-Natural-912566%2Fproduct-reviews%2FB093QSLWZ8%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhL3LBkr5l3G92D4rPyqfEE7exjomwVUbyKRxo8FP962kAAAAAGXT8fgAAAAB%26reviewId%3DR38OUB3W2I043F&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Report","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hL3LBkr5l3G92D4rPyqfEE7exjomwVUbyKRxo8FP962kAAAAAGXT8fgAAAAB&reviewId=R38OUB3W2I043F","Showing  comments",""
"https://www.amazon.com/gp/profile/amzn1.account.AGTLWB576JAJ3SX7R7LJCYHGPDXQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","Amazon Customer","https://www.amazon.com/gp/customer-reviews/R366IAK2CHLAB3/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B093QSLWZ8","5.0 out of 5 stars","Tasty and excellent product","Reviewed in the United States on December 17, 2021","https://www.amazon.com/gp/help/customer/display.html/ref=cm_cr_dp_d_rvw_avp?nodeId=G75XTB7MBMBTXP6W","Verified Purchase","Superb and tasty product...but they don't last but 1 minute with my Chocolate Labs (10 years old senior, and 6 months puppy). Too expensive","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FN-Bone-Teething-Salmon-Natural-912566%2Fproduct-reviews%2FB093QSLWZ8%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhOQdmf8NTacfmn1xzTdgvEAhTk%252BLveZ3AosTfIO6zaPvAAAAAGXT8fgAAAAB%26reviewId%3DR366IAK2CHLAB3&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Report","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hOQdmf8NTacfmn1xzTdgvEAhTk%2BLveZ3AosTfIO6zaPvAAAAAGXT8fgAAAAB&reviewId=R366IAK2CHLAB3","Showing  comments",""
"https://www.amazon.com/gp/profile/amzn1.account.AEKGKCU6WNYWOZOAPFJLG75IHSFQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","Elaine","https://www.amazon.com/gp/customer-reviews/R2FE05SVZUZZFE/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B093QSLWZ8","5.0 out of 5 stars","Yum!","Reviewed in the United States on January 12, 2022","https://www.amazon.com/gp/help/customer/display.html/ref=cm_cr_dp_d_rvw_avp?nodeId=G75XTB7MBMBTXP6W","Verified Purchase","My puppy loved them just wished they lasted longer","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FN-Bone-Teething-Salmon-Natural-912566%2Fproduct-reviews%2FB093QSLWZ8%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhCLJQT1fdr6km%252BVtCH8614AgqQ31Gc%252BspQAPAmaLCqhsAAAAAGXT8fgAAAAB%26reviewId%3DR2FE05SVZUZZFE&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Report","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hCLJQT1fdr6km%2BVtCH8614AgqQ31Gc%2BspQAPAmaLCqhsAAAAAGXT8fgAAAAB&reviewId=R2FE05SVZUZZFE","Showing  comments","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif"
"https://www.amazon.com/gp/profile/amzn1.account.AGN6R6MVSV2IEMT5S5FT7LAGCWCA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","Michael","https://www.amazon.com/gp/customer-reviews/R16KIYAF7OHAMD/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B093QSLWZ8","4.0 out of 5 stars","Dog loved them","Reviewed in the United States on February 14, 2022","https://www.amazon.com/gp/help/customer/display.html/ref=cm_cr_dp_d_rvw_avp?nodeId=G75XTB7MBMBTXP6W","Verified Purchase","Only thing didn't like seemed to give him a little diarrhea.but he loved them","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FN-Bone-Teething-Salmon-Natural-912566%2Fproduct-reviews%2FB093QSLWZ8%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhIn5TISnvh6Knzv%252Fe%252BvQ7BpZfvZ7BGPxlqWcKF7E0pw9AAAAAGXT8fgAAAAB%26reviewId%3DR16KIYAF7OHAMD&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Report","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hIn5TISnvh6Knzv%2Fe%2BvQ7BpZfvZ7BGPxlqWcKF7E0pw9AAAAAGXT8fgAAAAB&reviewId=R16KIYAF7OHAMD","Showing  comments","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif"
"https://www.amazon.com/gp/profile/amzn1.account.AGK2HYNC3BR3DK7DPIPDM4SKQWRA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","Kathleen J Cutre","https://www.amazon.com/gp/customer-reviews/R29C88NBYQ9XBS/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B093QSLWZ8","5.0 out of 5 stars","Best teaching treat. My puppy loves these","Reviewed in the United States on December 24, 2021","https://www.amazon.com/gp/help/customer/display.html/ref=cm_cr_dp_d_rvw_avp?nodeId=G75XTB7MBMBTXP6W","Verified Purchase","Very good my puppy loves these","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FN-Bone-Teething-Salmon-Natural-912566%2Fproduct-reviews%2FB093QSLWZ8%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhG2KJzoc6Dg7YGHc1194S8w27C2ozDrk6gofEKDOEUh1AAAAAGXT8fgAAAAB%26reviewId%3DR29C88NBYQ9XBS&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Report","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hG2KJzoc6Dg7YGHc1194S8w27C2ozDrk6gofEKDOEUh1AAAAAGXT8fgAAAAB&reviewId=R29C88NBYQ9XBS","Showing  comments","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif"
"https://www.amazon.com/gp/profile/amzn1.account.AEF6XXRK7RKZ7LEDJLXURVLNMXKA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","Book and Dog Lover","https://www.amazon.com/gp/customer-reviews/RFQ0U989RF7RA/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B093QSLWZ8","5.0 out of 5 stars","My puppy loved these teething rings","Reviewed in the United States on September 25, 2021","","(","My 3-month old puppy really enjoyed these teething rings. He’s a Lab who loves all food, but even with that, he really liked these rings. At first he enjoyed playing with the ring and then figured out that he could eat it. I thought he’d finish the ring in a few minutes, but it actually took about 20+ minutes for him to finish the ring. Considering how quickly he eats treats, 20+ minutes is a long time so I’ll be definitely buying more of these teething rings.As far as ingredients,  “natural salmon flavor” and salmon are the 6th and 7th ingredient, so, it’s not surprising that I didn’t notice any fishy odor with these teething rings.I received these rings in September 2021 and they have an expiration date of October 25, 2022.","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FN-Bone-Teething-Salmon-Natural-912566%2Fproduct-reviews%2FB093QSLWZ8%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhOJiDazAWaKooRMJtnMUCTU5B6caZWtu4%252B9bWbH6K14%252FAAAAAGXT8fgAAAAB%26reviewId%3DRFQ0U989RF7RA&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Report","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hOJiDazAWaKooRMJtnMUCTU5B6caZWtu4%2B9bWbH6K14%2FAAAAAGXT8fgAAAAB&reviewId=RFQ0U989RF7RA","Showing  comments","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif"
"https://www.amazon.com/gp/profile/amzn1.account.AF7DT3UZW4QMVRC3UVWE57ZVADLQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","Barbara J McArtney","https://www.amazon.com/gp/customer-reviews/R3MM0KFXUL2T55/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B093QSLWZ8","3.0 out of 5 stars","my puppy just didn't like them","Reviewed in the United States on February 14, 2022","https://www.amazon.com/gp/help/customer/display.html/ref=cm_cr_dp_d_rvw_avp?nodeId=G75XTB7MBMBTXP6W","Verified Purchase","They had a strong smell and my dog just didn't like it.","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FN-Bone-Teething-Salmon-Natural-912566%2Fproduct-reviews%2FB093QSLWZ8%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhE%252Fw6f2NL6trIRIVIOYd760QcDHaNkfeHLkfD14nxT9wAAAAAGXT8fgAAAAB%26reviewId%3DR3MM0KFXUL2T55&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Report","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hE%2Fw6f2NL6trIRIVIOYd760QcDHaNkfeHLkfD14nxT9wAAAAAGXT8fgAAAAB&reviewId=R3MM0KFXUL2T55","Showing  comments","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif"
"https://www.amazon.com/gp/profile/amzn1.account.AFSNCGGTOO5KVPFABS2AHYSIEEIA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","dog lover","https://www.amazon.com/gp/customer-reviews/RDSXATA8U73RP/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B093QSLWZ8","1.0 out of 5 stars","made my puppy sick","Reviewed in the United States on January 22, 2022","https://www.amazon.com/gp/help/customer/display.html/ref=cm_cr_dp_d_rvw_avp?nodeId=G75XTB7MBMBTXP6W","Verified Purchase","these don't last long. It took my dog about 4 minutes to have it gone. they are supposed to be able to eat them but made my dog sick with diarriha that lasted 24 hours.","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FN-Bone-Teething-Salmon-Natural-912566%2Fproduct-reviews%2FB093QSLWZ8%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhHiZplkWC25GDiYrtNppZVBN3QmBSeZHE66bdPigCv4oAAAAAGXT8fgAAAAB%26reviewId%3DRDSXATA8U73RP&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","One person found this helpful","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hHiZplkWC25GDiYrtNppZVBN3QmBSeZHE66bdPigCv4oAAAAAGXT8fgAAAAB&reviewId=RDSXATA8U73RP","Report","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif"
"https://www.amazon.com/gp/profile/amzn1.account.AHUS7Y7JKGRM57M73CJKCEUIOOIA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","Vanessatate","https://www.amazon.com/gp/customer-reviews/RQVFBMFWJ4PKF/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B093QSLWZ8","1.0 out of 5 stars","Diarrhea","Reviewed in the United States on July 26, 2022","https://www.amazon.com/gp/help/customer/display.html/ref=cm_cr_dp_d_rvw_avp?nodeId=G75XTB7MBMBTXP6W","Verified Purchase","Puppy became sick","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FN-Bone-Teething-Salmon-Natural-912566%2Fproduct-reviews%2FB093QSLWZ8%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhKWTxPafGwKkErCfz88pqUIuLhxOi4QYOJEyG0MgEGYGAAAAAGXT8fgAAAAB%26reviewId%3DRQVFBMFWJ4PKF&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Report","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hKWTxPafGwKkErCfz88pqUIuLhxOi4QYOJEyG0MgEGYGAAAAAGXT8fgAAAAB&reviewId=RQVFBMFWJ4PKF","Showing  comments","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif"
"https://www.amazon.com/gp/profile/amzn1.account.AEKTQRW6ZUB3CWILSHFF5GKAYKRQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","Ronald minas","https://www.amazon.com/gp/customer-reviews/RIG8LV9EWQJTF/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B093QSLWZ8","1.0 out of 5 stars","Not something you want for your puppy","Reviewed in the United States on December 12, 2021","https://www.amazon.com/gp/help/customer/display.html/ref=cm_cr_dp_d_rvw_avp?nodeId=G75XTB7MBMBTXP6W","Verified Purchase","My puppy ate this in about three seconds and it all ended up on the carpet with diarrhea","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FN-Bone-Teething-Salmon-Natural-912566%2Fproduct-reviews%2FB093QSLWZ8%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhFLj3bMlB8hmQkGPrRGJ%252BhhkJpulQNXJWOl9qpvijoUeAAAAAGXT8fgAAAAB%26reviewId%3DRIG8LV9EWQJTF&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Report","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hFLj3bMlB8hmQkGPrRGJ%2BhhkJpulQNXJWOl9qpvijoUeAAAAAGXT8fgAAAAB&reviewId=RIG8LV9EWQJTF","Showing  comments","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif"
"https://www.amazon.com/gp/profile/amzn1.account.AGRNXCBK3HKMMSLXBYBMI7I6ZJNA/ref=cm_cr_getr_d_gw_btm?ie=UTF8","https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","Eileen","https://www.amazon.com/gp/customer-reviews/RPBEBKI4ZWL5V/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B093QSLWZ8","1.0 out of 5 stars","Stale","Reviewed in the United States on May 11, 2022","https://www.amazon.com/gp/help/customer/display.html/ref=cm_cr_dp_d_rvw_avp?nodeId=G75XTB7MBMBTXP6W","Verified Purchase","Stale","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FN-Bone-Teething-Salmon-Natural-912566%2Fproduct-reviews%2FB093QSLWZ8%2Fref%3Dcm_cr_getr_d_vote_lft%3Fie%3DUTF8%26pageSize%3D10%26csrfT%3DhJ0bWScBJXfd6JZZ8TRPi5ep3QIyvaiFjyCwgAABOC6ZAAAAAGXT8f4AAAAB%26reviewId%3DRPBEBKI4ZWL5V&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Report","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_getr_d_rvw_hlp&csrfT=hJ0bWScBJXfd6JZZ8TRPi5ep3QIyvaiFjyCwgAABOC6ZAAAAAGXT8f4AAAAB&reviewId=RPBEBKI4ZWL5V","Showing  comments",""
"https://www.amazon.com/gp/profile/amzn1.account.AHJW6JYOIRAGDITSCUJDSSEO6U6Q/ref=cm_cr_getr_d_gw_btm?ie=UTF8","https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","Christy","https://www.amazon.com/gp/customer-reviews/R157GMOJJ2QOGS/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B093QSLWZ8","5.0 out of 5 stars","Last a while","Reviewed in the United States on November 27, 2021","https://www.amazon.com/gp/help/customer/display.html/ref=cm_cr_dp_d_rvw_avp?nodeId=G75XTB7MBMBTXP6W","Verified Purchase","I got these for my standard bernedoodle puppy.  She loves them and surprisingly they last a while as long as my adult dogs don’t get to them.","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FN-Bone-Teething-Salmon-Natural-912566%2Fproduct-reviews%2FB093QSLWZ8%2Fref%3Dcm_cr_getr_d_vote_lft%3Fie%3DUTF8%26pageSize%3D10%26csrfT%3DhEZZ09xJllnf1kuXCUDTlGs5dg10sNHCqeSvV2cgRjToAAAAAGXT8f4AAAAB%26reviewId%3DR157GMOJJ2QOGS&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Report","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_getr_d_rvw_hlp&csrfT=hEZZ09xJllnf1kuXCUDTlGs5dg10sNHCqeSvV2cgRjToAAAAAGXT8f4AAAAB&reviewId=R157GMOJJ2QOGS","Showing  comments",""
