"a-profile href","a-profile-name","a-size-base href","a-icon-alt","a-size-base","a-size-base 2","a-size-base 3","a-size-base 4","a-size-base 5","a-button-text href","a-size-base href 2","a-lazy-loaded src"
"https://www.amazon.com/gp/profile/amzn1.account.AF5EARKKSABVVOGJGLLT6E7N2GKA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","Debbie P","https://www.amazon.com/gp/customer-reviews/R1ZLJRGI06PDOV/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09FQF6KF5","5.0 out of 5 stars","Gentle on sensitive tummies","Reviewed in the United States on July 25, 2022","My finicky 15 month old domestic short hair really looks forward to having these treats in the evening.A few months ago she began to leave very soft stool in, and sometimes around, her litter box. I figured out that it was from her “cookies” (we used Temptations before) and researched more tummy-friendly treats. That’s when I discovered these.They are semisoft and apparently taste pretty  good. Her sensitive (and adorable) tummy isn’t giving either of us any more trouble.","Gentle on sensitive tummies","My finicky 15 month old domestic short hair really looks forward to having these treats in the evening.A few months ago she began to leave very soft stool in, and sometimes around, her litter box. I figured out that it was from her “cookies” (we used Temptations before) and researched more tummy-friendly treats. That’s when I discovered these.They are semisoft and apparently taste pretty  good. Her sensitive (and adorable) tummy isn’t giving either of us any more trouble.","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FGet-Naked-Biteables-Natural-Digestive%2Fproduct-reviews%2FB09FQF6KF5%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhB7P1pnH40SGiaHufAcUG6YJxQhNi900Q3NXcO3LEU8xAAAAAGXT5DAAAAAB%26reviewId%3DR1ZLJRGI06PDOV&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hB7P1pnH40SGiaHufAcUG6YJxQhNi900Q3NXcO3LEU8xAAAAAGXT5DAAAAAB&reviewId=R1ZLJRGI06PDOV",""
"https://www.amazon.com/gp/profile/amzn1.account.AEXQMYB6C5K3G7SZVST34PN5WKLA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","wj","https://www.amazon.com/gp/customer-reviews/R2MCERA3X8XRVN/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09FQF6KF5","5.0 out of 5 stars","my cat love it !","Reviewed in the United States on April 19, 2022","I have been buying this cat food and they seem to be healthy. I feed my cat twice a day. It's great quality food and the cats do love it.  This is probably the best value going for cat food!","Report","Showing  comments","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FGet-Naked-Biteables-Natural-Digestive%2Fproduct-reviews%2FB09FQF6KF5%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhKgEtSx9NVcJEdgRdY8vxhAUd6z%252BtBvQ8wlKVsFCMh37AAAAAGXT5DAAAAAB%26reviewId%3DR2MCERA3X8XRVN&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hKgEtSx9NVcJEdgRdY8vxhAUd6z%2BtBvQ8wlKVsFCMh37AAAAAGXT5DAAAAAB&reviewId=R2MCERA3X8XRVN","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif"
"https://www.amazon.com/gp/profile/amzn1.account.AHRDM7KSCH4K7QJULTMJHYYMNSQQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","Patricia Burnett","https://www.amazon.com/gp/customer-reviews/R387CVGFXMHJ2Y/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09FQF6KF5","3.0 out of 5 stars","Can’t speak for my cat","Reviewed in the United States on July 24, 2022","My cats seemed to like these treats at first but quit eating after a couple of days","Report","Showing  comments","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FGet-Naked-Biteables-Natural-Digestive%2Fproduct-reviews%2FB09FQF6KF5%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhMqwRjo01E58mp2ul7vZhv1mKxGG1qltXjfYClLxXMuVAAAAAGXT5DAAAAAB%26reviewId%3DR387CVGFXMHJ2Y&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hMqwRjo01E58mp2ul7vZhv1mKxGG1qltXjfYClLxXMuVAAAAAGXT5DAAAAAB&reviewId=R387CVGFXMHJ2Y","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif"
"https://www.amazon.com/gp/profile/amzn1.account.AEINPR74WVSSXMU5HWUPG4UEIBZQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","deegeecookie","https://www.amazon.com/gp/customer-reviews/R107IDNX6OVMRW/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09FQF6KF5","5.0 out of 5 stars","Helped my chronic puker","Reviewed in the United States on April 1, 2022","My cat is a nightly puker. I have been giver these treats daily for about three weeks and she has only puked once since! She is not a picky eater. Definitely working.","Report","Showing  comments","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FGet-Naked-Biteables-Natural-Digestive%2Fproduct-reviews%2FB09FQF6KF5%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhF2P4MNdznTezXNKsSgBGspHy2oRfaaA34kPS0Dq%252FlC0AAAAAGXT5DAAAAAB%26reviewId%3DR107IDNX6OVMRW&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hF2P4MNdznTezXNKsSgBGspHy2oRfaaA34kPS0Dq%2FlC0AAAAAGXT5DAAAAAB&reviewId=R107IDNX6OVMRW","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif"
"https://www.amazon.com/gp/profile/amzn1.account.AFZUVV6ZAPJZ6J7FZWFUOB4V4SUA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","QA/QC Reviewer","https://www.amazon.com/gp/customer-reviews/RSDFMPRNUF6IY/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09FQF6KF5","1.0 out of 5 stars","Terrible, never again","Reviewed in the United States on March 22, 2022","Terrible, never again.My strong young healthy cat could not handle this terrible product.I wetted the product with high quality water, and fed him immediately.He threw it all up.Tried later on another day, same result.Stay away.Cats are strong, and can handle suspect food, but not this product!","Report","Showing  comments","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FGet-Naked-Biteables-Natural-Digestive%2Fproduct-reviews%2FB09FQF6KF5%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhDUP7SxgsXjm%252B5Gaii8PDlipxPNrBcs3vDU5g2Li0dcoAAAAAGXT5DAAAAAB%26reviewId%3DRSDFMPRNUF6IY&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hDUP7SxgsXjm%2B5Gaii8PDlipxPNrBcs3vDU5g2Li0dcoAAAAAGXT5DAAAAAB&reviewId=RSDFMPRNUF6IY","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif"
"https://www.amazon.com/gp/profile/amzn1.account.AEIYWE2SVL5FUBGO6EGYZWYR2STA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","LG","https://www.amazon.com/gp/customer-reviews/R1Q1FN3JTAXWYG/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09FQF6KF5","3.0 out of 5 stars","Who knows?","Reviewed in the United States on July 10, 2022","Looked decent but my cat took one cursory bite and refused to eat any more of it.","Report","Showing  comments","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FGet-Naked-Biteables-Natural-Digestive%2Fproduct-reviews%2FB09FQF6KF5%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhLzQOZ69QfNDBLWUDZAKwHCoO9jqVGA8sHj2HyaypGERAAAAAGXT5DAAAAAB%26reviewId%3DR1Q1FN3JTAXWYG&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hLzQOZ69QfNDBLWUDZAKwHCoO9jqVGA8sHj2HyaypGERAAAAAGXT5DAAAAAB&reviewId=R1Q1FN3JTAXWYG","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif"
"https://www.amazon.com/gp/profile/amzn1.account.AEXDMWMEM7XJLFZ5QGLHKKEGC4EQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","John C. Bennett","https://www.amazon.com/gp/customer-reviews/RCRFDM15SDKR6/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09FQF6KF5","1.0 out of 5 stars","Cat won't eat!","Reviewed in the United States on November 28, 2021","Cat won't eat.","Report","Showing  comments","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FGet-Naked-Biteables-Natural-Digestive%2Fproduct-reviews%2FB09FQF6KF5%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhOtAVD7V%252F%252Blsh0r9jo7G1%252FaLzly2Y5S6S8sDKjEy8XA8AAAAAGXT5DAAAAAB%26reviewId%3DRCRFDM15SDKR6&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hOtAVD7V%2F%2Blsh0r9jo7G1%2FaLzly2Y5S6S8sDKjEy8XA8AAAAAGXT5DAAAAAB&reviewId=RCRFDM15SDKR6","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif"
"https://www.amazon.com/gp/profile/amzn1.account.AF4I3YZGC6K3HXGHNZW7VQXK7PGQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","Lucy R","https://www.amazon.com/gp/customer-reviews/R2YTULAC1R6OSZ/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09FQF6KF5","3.0 out of 5 stars","Neither cat would eat any","Reviewed in the United States on July 28, 2022","Seems to be high quality product, but neither of my cats would touch it. One cat is picky and the other eats just about anything. Maybe you'll have better luck with your felines...","Report","Showing  comments","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FGet-Naked-Biteables-Natural-Digestive%2Fproduct-reviews%2FB09FQF6KF5%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhBuCJKB5FGS4W1cwxlZaG68NMeqFit6XjCtB%252FKcX9xEUAAAAAGXT5DAAAAAB%26reviewId%3DR2YTULAC1R6OSZ&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hBuCJKB5FGS4W1cwxlZaG68NMeqFit6XjCtB%2FKcX9xEUAAAAAGXT5DAAAAAB&reviewId=R2YTULAC1R6OSZ","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif"
"https://www.amazon.com/gp/profile/amzn1.account.AHDURQFM7JZPQH5NL76N3LVJUQHA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","Laura Schmitt","https://www.amazon.com/gp/customer-reviews/R28WDSAWILW5WC/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09FQF6KF5","5.0 out of 5 stars","My picky cat loves them!","Reviewed in the United States on July 22, 2022","She loved them!!","Report","Showing  comments","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FGet-Naked-Biteables-Natural-Digestive%2Fproduct-reviews%2FB09FQF6KF5%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhIHDA9O%252BES1uL1dFo%252F8SK%252FBO11MVk6Ky65bJ%252FnrqPHKJAAAAAGXT5DAAAAAB%26reviewId%3DR28WDSAWILW5WC&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hIHDA9O%2BES1uL1dFo%2F8SK%2FBO11MVk6Ky65bJ%2FnrqPHKJAAAAAGXT5DAAAAAB&reviewId=R28WDSAWILW5WC","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif"
"https://www.amazon.com/gp/profile/amzn1.account.AH62HPSRJX5ILF6DCXWFXMKCYRIA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","D.johnson","https://www.amazon.com/gp/customer-reviews/R2WHRUZCXOODQI/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09FQF6KF5","5.0 out of 5 stars","Cat enjoyed them","Reviewed in the United States on September 11, 2022","Our cat is not picky but she did seem to really like these.","Report","Showing  comments","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FGet-Naked-Biteables-Natural-Digestive%2Fproduct-reviews%2FB09FQF6KF5%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhNCCxpZMPjQjgKdhPUEU45iaOfdXMdwKDAA9IksIrh9JAAAAAGXT5DAAAAAB%26reviewId%3DR2WHRUZCXOODQI&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hNCCxpZMPjQjgKdhPUEU45iaOfdXMdwKDAA9IksIrh9JAAAAAGXT5DAAAAAB&reviewId=R2WHRUZCXOODQI","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif"