"a-profile href","a-profile-avatar src","a-profile-avatar","a-profile-name","a-size-base href","a-icon-alt","a-size-base","a-size-base 2","a-size-base 3","a-button-text href","a-size-base 4","a-size-base href 2","a-size-base 5","a-lazy-loaded src","a-size-base 6"
"https://www.amazon.com/gp/profile/amzn1.account.AEO47Z4OODX4DXKWNSPSABMZ7QDA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","David El Brigham","https://www.amazon.com/gp/customer-reviews/RH7EVK4AEJIOW/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09JKJ871B","5.0 out of 5 stars","Great for chewers","Reviewed in the United States on October 19, 2023","Really good for teething, puppies or dogs in general, my dogs all of them and keep them busy for a little while","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FN-Bone-Teething-Chicken-Natural-912559%2Fproduct-reviews%2FB09JKJ871B%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhJzA8omMCDZ0ScQVy6NPhhoOEEojKv7ZyIT1cGp4iTq3AAAAAGXT5RMAAAAB%26reviewId%3DRH7EVK4AEJIOW&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Report","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hJzA8omMCDZ0ScQVy6NPhhoOEEojKv7ZyIT1cGp4iTq3AAAAAGXT5RMAAAAB&reviewId=RH7EVK4AEJIOW","Showing  comments","",""
"https://www.amazon.com/gp/profile/amzn1.account.AF5DLUKVUDCMF4TTSS752MCDTJ2A/ref=cm_cr_arp_d_gw_btm?ie=UTF8","https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/61242c17-53a7-4c35-98b3-6b705aba50a6._CR62,0,375,375_SX48_.jpg","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/61242c17-53a7-4c35-98b3-6b705aba50a6._CR62,0,375,375_SX48_.jpg""/>","Justin Harvey","https://www.amazon.com/gp/customer-reviews/R3897881KM72SV/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09JKJ871B","5.0 out of 5 stars","Great","Reviewed in the United States on July 12, 2023","Labradoodle puppy loves them, but the older he gets, the less time it takes for him to chew (6 months to now 10 months), about 15 minutes now","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FN-Bone-Teething-Chicken-Natural-912559%2Fproduct-reviews%2FB09JKJ871B%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhIKwOPWYidp0EERD7Leh2dqUI3pTf2%252F5DyzRZRNJlSusAAAAAGXT5RMAAAAB%26reviewId%3DR3897881KM72SV&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Report","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hIKwOPWYidp0EERD7Leh2dqUI3pTf2%2F5DyzRZRNJlSusAAAAAGXT5RMAAAAB&reviewId=R3897881KM72SV","Showing  comments","",""
"https://www.amazon.com/gp/profile/amzn1.account.AEGGBOXLKTERV5QZI4FQLVL2YXSA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","Cynthia  Oliveras","https://www.amazon.com/gp/customer-reviews/R1KCEAMS0RCAVQ/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09JKJ871B","5.0 out of 5 stars","The thing rings","Reviewed in the United States on August 22, 2023","These are great ! My Frenchie loves these !","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FN-Bone-Teething-Chicken-Natural-912559%2Fproduct-reviews%2FB09JKJ871B%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhC85j3QHJCA3Yq6Il1bqfJvm07Ui4C12OFwUrW%252FwPGitAAAAAGXT5RMAAAAB%26reviewId%3DR1KCEAMS0RCAVQ&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Report","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hC85j3QHJCA3Yq6Il1bqfJvm07Ui4C12OFwUrW%2FwPGitAAAAAGXT5RMAAAAB&reviewId=R1KCEAMS0RCAVQ","Showing  comments","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif",""
"https://www.amazon.com/gp/profile/amzn1.account.AE5CMU7ELL6DPZYO7QPKZFZVT7VA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","joan farr","https://www.amazon.com/gp/customer-reviews/R4YH62UGD62SN/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09JKJ871B","4.0 out of 5 stars","Dog' s favorite treat.","Reviewed in the United States on May 23, 2023","Need to increase amount in bag. My golden retriever pup loves this. Does not take her long to devour one.","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FN-Bone-Teething-Chicken-Natural-912559%2Fproduct-reviews%2FB09JKJ871B%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhO82DOWAkiY5bfEbKajElVSSoXEF5n5ERUrupR67BWgrAAAAAGXT5RMAAAAB%26reviewId%3DR4YH62UGD62SN&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","One person found this helpful","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hO82DOWAkiY5bfEbKajElVSSoXEF5n5ERUrupR67BWgrAAAAAGXT5RMAAAAB&reviewId=R4YH62UGD62SN","Report","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif","Showing  comments"
"https://www.amazon.com/gp/profile/amzn1.account.AFQIIOCMJZLZC4EPYZPFG74RID3Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8","","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","Ellsbeth","https://www.amazon.com/gp/customer-reviews/R3UWV6PNLPKQ1H/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09JKJ871B","5.0 out of 5 stars","Mother's little helper 😂","Reviewed in the United States on November 23, 2022","These are great teething rings. They last longer than most puppy teething treats we purchased and they were very easy for little one to hold. She's too big for them now or we'd have them on subscription. She loved them and they gave us some much needed downtime in the evenings during teething. She'd see the ring and zoom right to her spot for her treat. When I questioned vet about the ingredients he was happy with it. Great product!","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FN-Bone-Teething-Chicken-Natural-912559%2Fproduct-reviews%2FB09JKJ871B%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhEVV%252B%252B6%252FQG%252B2GyXf8gu%252Ba18%252B67M8Qj%252FF3jdnWr1YmSSGAAAAAGXT5RMAAAAB%26reviewId%3DR3UWV6PNLPKQ1H&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Report","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hEVV%2B%2B6%2FQG%2B2GyXf8gu%2Ba18%2B67M8Qj%2FF3jdnWr1YmSSGAAAAAGXT5RMAAAAB&reviewId=R3UWV6PNLPKQ1H","Showing  comments","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif",""
"https://www.amazon.com/gp/profile/amzn1.account.AGCMWGBFDMSXNNM4JLSJPRQ3W4VQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/0fa4d954-f281-4e71-b7b7-6027adb664fc._CR0,0,460,460_SX48_.jpg""/>","Julie Ann","https://www.amazon.com/gp/customer-reviews/R33V13QATCD004/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09JKJ871B","5.0 out of 5 stars","The pups enjoyed them so much they didn’t last","Reviewed in the United States on August 29, 2022","My three puppies enjoyed these rings that they chewed right through them in minutes and looked around for more. It was a quick treat that fulfilled minutes worth of time away from chewing my walls and cabinet doors. My only complaint would be just how quickly they chewed through them. Otherwise I do recommend them for puppy parents.","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FN-Bone-Teething-Chicken-Natural-912559%2Fproduct-reviews%2FB09JKJ871B%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhCEXRIK4Ggj4QIwTUqbPRo7tsRsYS5JE8rBF7bfdF%252BWZAAAAAGXT5RMAAAAB%26reviewId%3DR33V13QATCD004&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","One person found this helpful","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hCEXRIK4Ggj4QIwTUqbPRo7tsRsYS5JE8rBF7bfdF%2BWZAAAAAGXT5RMAAAAB&reviewId=R33V13QATCD004","Report","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif","Showing  comments"
"https://www.amazon.com/gp/profile/amzn1.account.AFX5OW52CFVOKHYRMBSSKKCM7XAQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","Bacon Overlord","https://www.amazon.com/gp/customer-reviews/R2VE7UEA3RUAUH/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09JKJ871B","3.0 out of 5 stars","Watch your puppy very carefully with this","Reviewed in the United States on June 23, 2023","My puppy ended up swallowing a piece of this and we had to take him to the ER.  He was vomiting and couldn't keep anything down (it was lodged somewhere).  Thankfully after a day or so he was able to apparently digest it and got back to normal.Big scare though.Watch your puppies VERY carefully with these.","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FN-Bone-Teething-Chicken-Natural-912559%2Fproduct-reviews%2FB09JKJ871B%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhLNY%252BLaW0z9855oKfrJkGWrpB3RnWucqfZ9RREoMbR3qAAAAAGXT5RMAAAAB%26reviewId%3DR2VE7UEA3RUAUH&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Report","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hLNY%2BLaW0z9855oKfrJkGWrpB3RnWucqfZ9RREoMbR3qAAAAAGXT5RMAAAAB&reviewId=R2VE7UEA3RUAUH","Showing  comments","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif",""
"https://www.amazon.com/gp/profile/amzn1.account.AFAP63PFS4U6G3JHTANWNNK4IHHA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/3c17bf35-588b-4a60-af65-6b986c7d521e._CR0,32.0,268,268_SX48_.jpg""/>","Melanie Oseguera","https://www.amazon.com/gp/customer-reviews/R3GMRD3S8E7ZCS/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09JKJ871B","5.0 out of 5 stars","Fun to chew on","Reviewed in the United States on September 4, 2022","My husky loved the fact that these were in the shape of a ring. As soon as we gave her one she would take off to the back yard to run around and play. It entertained her high energy for a little while as well as her teething.","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FN-Bone-Teething-Chicken-Natural-912559%2Fproduct-reviews%2FB09JKJ871B%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhAJ8JKNZEFWtA3%252BXD9oBkedsFIMKnaM9YeERH7%252BfhTFxAAAAAGXT5RMAAAAB%26reviewId%3DR3GMRD3S8E7ZCS&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Report","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hAJ8JKNZEFWtA3%2BXD9oBkedsFIMKnaM9YeERH7%2BfhTFxAAAAAGXT5RMAAAAB&reviewId=R3GMRD3S8E7ZCS","Showing  comments","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif",""
