"a-profile href","a-profile-avatar src","a-profile-avatar","a-profile-name","a-size-base href","a-icon-alt","a-size-base","a-size-base 2","a-size-base 3","a-button-text href","a-size-base 4","a-size-base href 2","a-size-base 5","cr-lightbox-main-image src","a-profile href 2","a-profile-avatar src 2","a-profile-avatar 2","a-profile-name 2","a-icon-alt 2","a-size-small","a-size-medium","cr-lightbox-image-thumbnail src","a-popover-trigger href","a-size-base 6","a-size-base 7"
"https://www.amazon.com/gp/profile/amzn1.account.AF6JKWT3O7EGBMTZCHA3LTXOKREA/ref=cm_cr_getr_d_gw_btm?ie=UTF8","https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/356b2cc6-e927-48b0-ae38-dacd7e566793._CR0,0,500,500_SX48_.jpg","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/356b2cc6-e927-48b0-ae38-dacd7e566793._CR0,0,500,500_SX48_.jpg""/>","Accessory Shop Plus","https://www.amazon.com/gp/customer-reviews/R3FICDPR599P21/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CJZ69YMK","5.0 out of 5 stars","tail waggin good","Reviewed in the United States on December 29, 2023","Yo, fellow dog lovers! Just tossed my furry buddy one of these Dental Sticks, grain-free and chicken-flavored, from a 6.6-oz bag made for seniors, and let me tell you – it was an instant hit. This isn't just a treat; it's like a party for their taste buds and a high-five to their dental health.Firstly, the chicken flavor is legit. It's like these sticks have been seasoned with some kind of dog-approved magic. My old boy went for it like it was the best thing since belly rubs.The grain-free part is cool, especially if your pup's got a sensitive stomach. It's like they're keeping it healthy while still making it taste like a cheat day treat.Now, the dental aspect? Spot on. They're tough enough to give those chompers a good workout, helping to keep the tartar and plaque in check. It's like a gym session for their teeth, but way more fun.The size of the sticks is perfect for larger senior dogs. They’re substantial enough to keep them occupied but not too huge. It's like the perfect portion for a good munch without going overboard.And the bag? It's a decent size, meaning you're not running out after just a few treat sessions. It’s like having a ready stash of doggo happiness in your cupboard.","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FGet-Naked-Dental-Grain-Free-Chicken%2Fproduct-reviews%2FB0CJZ69YMK%2Fref%3Dcm_cr_getr_d_vote_lft%3Fie%3DUTF8%26pageSize%3D10%26csrfT%3DhAuETor8dTdeuagmQy0YabNqM1nLYqcIQWqcG8Ll4OX4AAAAAGXT01oAAAAB%26reviewId%3DR3FICDPR599P21&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Report","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_getr_d_rvw_hlp&csrfT=hAuETor8dTdeuagmQy0YabNqM1nLYqcIQWqcG8Ll4OX4AAAAAGXT01oAAAAB&reviewId=R3FICDPR599P21","Showing  comments","","","","","","","","","","","",""
"https://www.amazon.com/gp/profile/amzn1.account.AEPP2HFMMMAM4E2Q2FNHHYVGRN5Q/ref=cm_cr_getr_d_gw_btm?ie=UTF8","https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","Miranda","https://www.amazon.com/gp/customer-reviews/R2PJRPH8PYNM1J/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CJZ69YMK","5.0 out of 5 stars","Dental Sticks","Reviewed in the United States on February 12, 2024","These dental sticks are grain free, and that's all that my dog can have. My dog loves them! He ate each one with no problem, and his breath smelled better after each one! He's a senior, at 14 years old. I'm glad that these work well with him and his tummy!","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FGet-Naked-Dental-Grain-Free-Chicken%2Fproduct-reviews%2FB0CJZ69YMK%2Fref%3Dcm_cr_getr_d_vote_lft%3Fie%3DUTF8%26pageSize%3D10%26csrfT%3DhE2Nqg%252BcbQLHCUKKABPhkYHJIi%252FJiDCcSTzm1YsFBQq2AAAAAGXT01oAAAAB%26reviewId%3DR2PJRPH8PYNM1J&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Report","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_getr_d_rvw_hlp&csrfT=hE2Nqg%2BcbQLHCUKKABPhkYHJIi%2FJiDCcSTzm1YsFBQq2AAAAAGXT01oAAAAB&reviewId=R2PJRPH8PYNM1J","Showing  comments","","","","","","","","","","","",""
"https://www.amazon.com/gp/profile/amzn1.account.AFZX63C4RK2TYI4DBSRKIQJYFHEA/ref=cm_cr_getr_d_gw_btm?ie=UTF8","https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","Pawsable","https://www.amazon.com/gp/customer-reviews/RVUUP28647UYI/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CJZ69YMK","4.0 out of 5 stars","Nice treats","Reviewed in the United States on January 1, 2024","Haven't really noticed much help dental wise but as far as treats go it gets a thumb up from my dog. The smell isn't strong to my nose and they're not too hard or too soft something my senior (almost 12yr) dog can chew on. She isn't a large dog so I do snap them in half and they're perfect size for her.","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FGet-Naked-Dental-Grain-Free-Chicken%2Fproduct-reviews%2FB0CJZ69YMK%2Fref%3Dcm_cr_getr_d_vote_lft%3Fie%3DUTF8%26pageSize%3D10%26csrfT%3DhPMSnbAYONXA7pSmN41ik%252BFL49srp3opeAl7B9QKogMBAAAAAGXT01oAAAAB%26reviewId%3DRVUUP28647UYI&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Report","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_getr_d_rvw_hlp&csrfT=hPMSnbAYONXA7pSmN41ik%2BFL49srp3opeAl7B9QKogMBAAAAAGXT01oAAAAB&reviewId=RVUUP28647UYI","Showing  comments","","","","","","","","","","","",""
"https://www.amazon.com/gp/profile/amzn1.account.AHJDRLW25Q76WNYJBT5VQS2NJSPQ/ref=cm_cr_getr_d_gw_btm?ie=UTF8","https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/05b6e10b-6f06-40e1-9965-229a21b484c8._CR56,0,388,388_SX48_.jpg","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/05b6e10b-6f06-40e1-9965-229a21b484c8._CR56,0,388,388_SX48_.jpg""/>","vunderstuff","https://www.amazon.com/gp/customer-reviews/RKCSKQIDAMEEC/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CJZ69YMK","5.0 out of 5 stars","Great product, dogs love them","Reviewed in the United States on November 5, 2023","I have bought the other varieties of Get Naked dental treats many times but this is the first time I have seen the senior large versions. The company uses very good ingredients including Dried potatoes, vegetable glycerin, gelatin, water, potato starch, chicken, natural chicken flavor, flaxseed, green lipped mussel, turmeric, cranberry fiber, calcium carbonate, parsley, l-ascorbyl-2 polyphosphate (source of vitamin C), chia seed, citric acid (preservative), fish oil (source of DHA). The large versions are about twice the size of the small version and suitable for my biggest dog or I could break them in half for my smaller guys.All of my dogs love these. They get either one or 1/2 a day depending on their size. They line up for one for their midmorning snack and can't wait to get them. Even my picky eater loves them. They are made in the US and I feel safe giving them to my dogs.","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FGet-Naked-Dental-Grain-Free-Chicken%2Fproduct-reviews%2FB0CJZ69YMK%2Fref%3Dcm_cr_getr_d_vote_lft%3Fie%3DUTF8%26pageSize%3D10%26csrfT%3DhOSnPwNKRArKgyBjIWfoT27%252F5nJ2166OMqSAjeVk8pDaAAAAAGXT01oAAAAB%26reviewId%3DRKCSKQIDAMEEC&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Great product, dogs love them","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_getr_d_rvw_hlp&csrfT=hOSnPwNKRArKgyBjIWfoT27%2F5nJ2166OMqSAjeVk8pDaAAAAAGXT01oAAAAB&reviewId=RKCSKQIDAMEEC","I have bought the other varieties of Get Naked dental treats many times but this is the first time I have seen the senior large versions. The company uses very good ingredients including Dried potatoes, vegetable glycerin, gelatin, water, potato starch, chicken, natural chicken flavor, flaxseed, green lipped mussel, turmeric, cranberry fiber, calcium carbonate, parsley, l-ascorbyl-2 polyphosphate (source of vitamin C), chia seed, citric acid (preservative), fish oil (source of DHA). The large versions are about twice the size of the small version and suitable for my biggest dog or I could break them in half for my smaller guys.All of my dogs love these. They get either one or 1/2 a day depending on their size. They line up for one for their midmorning snack and can't wait to get them. Even my picky eater loves them. They are made in the US and I feel safe giving them to my dogs.","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel._V192234675_.gif","https://www.amazon.com/gp/profile/amzn1.account.AHJDRLW25Q76WNYJBT5VQS2NJSPQ/ref=cm_cr_getr_d_gw_pop?ie=UTF8","https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/05b6e10b-6f06-40e1-9965-229a21b484c8._CR56,0,388,388_SX48_.jpg","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/05b6e10b-6f06-40e1-9965-229a21b484c8._CR56,0,388,388_SX48_.jpg""/>","vunderstuff","5.0 out of 5 stars","Reviewed in the United States on November 5, 2023","Images in this review","https://m.media-amazon.com/images/I/71UfbAIlLoL._SY88.jpg","javascript:void(0)","Report","Showing  comments"
"https://www.amazon.com/gp/profile/amzn1.account.AGHEQALTTLGNQSGBX7G2ZG6AF6XQ/ref=cm_cr_getr_d_gw_btm?ie=UTF8","https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","Danni","https://www.amazon.com/gp/customer-reviews/R32YQTBSHVJF7M/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CJZ69YMK","3.0 out of 5 stars","Very hard","Reviewed in the United States on November 18, 2023","My dog seems to like the flavor of these sticks but it takes him forever to finish one because they are so hard. He likes to take his ""treats"" to his crate and chew on them there but he took one stick to his crate and gnawed on it for awhile, then lost interest and left it in his crate. I did notice he went back to it after awhile but normally he'll be in the crate until it is all gone. I suppose in one way that is good because it lasts awhile but on the opposite side of that, I do not want treats left in his crate. Overall, it just seems too hard for most dogs to chew on it.","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FGet-Naked-Dental-Grain-Free-Chicken%2Fproduct-reviews%2FB0CJZ69YMK%2Fref%3Dcm_cr_getr_d_vote_lft%3Fie%3DUTF8%26pageSize%3D10%26csrfT%3DhH%252BqVeJ8Y5%252BOBKcgU47w8Tq5MsNGELegpn%252FNshsHZLG6AAAAAGXT01oAAAAB%26reviewId%3DR32YQTBSHVJF7M&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Report","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_getr_d_rvw_hlp&csrfT=hH%2BqVeJ8Y5%2BOBKcgU47w8Tq5MsNGELegpn%2FNshsHZLG6AAAAAGXT01oAAAAB&reviewId=R32YQTBSHVJF7M","Showing  comments","","","","","","","","","","","",""
"https://www.amazon.com/gp/profile/amzn1.account.AEZRLKYG4EACGIHL77CBMZK7IJYA/ref=cm_cr_getr_d_gw_btm?ie=UTF8","https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","Loblady","https://www.amazon.com/gp/customer-reviews/R1YIGLKS5PLVIW/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CJZ69YMK","2.0 out of 5 stars","Too Hard for My Dogs","Reviewed in the United States on November 4, 2023","I’m always looking for grain free treats for my two rescues. I knew these sticks were large (about 6 inches each) but I figured I’d cut it in half and they could share one. Nope. I tried breaking it in two. My husband tried breaking it. We then tried cutting it. We could not cut it in half! So, I decided to let them each have one for a taste test. After a few minutes of gnawing, my old dog gave up and walked away. A few minutes later, my other dog yelped and dropped the stick. I think the hard ridge at the edge hit his gums causing pain so I took his away also. I’m giving two stars for ingredients and flavor but they were basically inedible by my dogs. I’d also be very careful of choking if your dog manages to bite off a small piece. A little softer and this could be a good product.","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FGet-Naked-Dental-Grain-Free-Chicken%2Fproduct-reviews%2FB0CJZ69YMK%2Fref%3Dcm_cr_getr_d_vote_lft%3Fie%3DUTF8%26pageSize%3D10%26csrfT%3DhA5C8T%252BTI1%252FkT6vWQ0lZL9PoXG6SJtT9XpsjxlAvKagFAAAAAGXT01oAAAAB%26reviewId%3DR1YIGLKS5PLVIW&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Report","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_getr_d_rvw_hlp&csrfT=hA5C8T%2BTI1%2FkT6vWQ0lZL9PoXG6SJtT9XpsjxlAvKagFAAAAAGXT01oAAAAB&reviewId=R1YIGLKS5PLVIW","Showing  comments","","","","","","","","","","","",""
"https://www.amazon.com/gp/profile/amzn1.account.AFIS7CQZWV4YPG6RHEZLDXVT5DKA/ref=cm_cr_getr_d_gw_btm?ie=UTF8","https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","Rojma","https://www.amazon.com/gp/customer-reviews/R3PS2ZEEC77EJP/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CJZ69YMK","5.0 out of 5 stars","Dogs enjoyed these, and they last a while","Reviewed in the United States on November 25, 2023","My pups were not enthusiastic about another flavor I got from this brand, so I was worried they might not like these- but they both took them without hesitation. Even my picky dog grabbed this treat immediately. He did parade around the house with it for a while before actually eating it, but once he started chewing it lasted a good while. Very satisfied, I'd get this flavor again.","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FGet-Naked-Dental-Grain-Free-Chicken%2Fproduct-reviews%2FB0CJZ69YMK%2Fref%3Dcm_cr_getr_d_vote_lft%3Fie%3DUTF8%26pageSize%3D10%26csrfT%3DhE358%252B7pOuu0ihUOk3bbOBETkuI3sRuXf9UaDCgSsvsuAAAAAGXT01oAAAAB%26reviewId%3DR3PS2ZEEC77EJP&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Report","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_getr_d_rvw_hlp&csrfT=hE358%2B7pOuu0ihUOk3bbOBETkuI3sRuXf9UaDCgSsvsuAAAAAGXT01oAAAAB&reviewId=R3PS2ZEEC77EJP","Showing  comments","","","","","","","","","","","",""
"https://www.amazon.com/gp/profile/amzn1.account.AF2BUWMSZC6A66ZYZZTL2S2ASOEQ/ref=cm_cr_getr_d_gw_btm?ie=UTF8","https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/7894dd70-c379-4e02-bb61-66df5f00068d._CR0,0,500,500_SX48_.jpg","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/7894dd70-c379-4e02-bb61-66df5f00068d._CR0,0,500,500_SX48_.jpg""/>","Alex B.","https://www.amazon.com/gp/customer-reviews/R3ASJNYO6FMKJ5/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CJZ69YMK","5.0 out of 5 stars","You're good to go with this one!","Reviewed in the United States on November 15, 2023","Since I didn't eat them personally, I can't precisely tell you how much they taste like chicken, but Moxie sure loves them.  She's not very picky about treats, but she does refuse some snacks if she doesn't like them.Not stinky for me, the bag is easy to open and reseals easily.  You're good to go with this one!","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FGet-Naked-Dental-Grain-Free-Chicken%2Fproduct-reviews%2FB0CJZ69YMK%2Fref%3Dcm_cr_getr_d_vote_lft%3Fie%3DUTF8%26pageSize%3D10%26csrfT%3DhNM%252FcK1CqA65F4pWuCv1aXHavYcVQB%252FVM%252BO2vTLOCKXTAAAAAGXT01oAAAAB%26reviewId%3DR3ASJNYO6FMKJ5&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Report","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_getr_d_rvw_hlp&csrfT=hNM%2FcK1CqA65F4pWuCv1aXHavYcVQB%2FVM%2BO2vTLOCKXTAAAAAGXT01oAAAAB&reviewId=R3ASJNYO6FMKJ5","Showing  comments","","","","","","","","","","","",""
